"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.018528750E-1,9.029889107E-1,4.965416789E-1,-6.037820578E-1
9.118498750E-1,8.395087719E-1,8.122597635E-2,-5.605978370E-1
9.218478750E-1,4.582508802E-1,-5.648598075E-1,-5.391336083E-1
9.318448750E-1,3.279730678E-2,-1.359083652E0,-6.207491159E-1
9.418428750E-1,-2.761464119E-1,-2.123150587E0,-9.322314858E-1
9.518408750E-1,-3.918392062E-1,-1.654835939E0,-9.651058316E-1
9.618378750E-1,-5.917908996E-2,-1.440836906E0,-6.145174503E-1
9.718358750E-1,2.222075760E-1,-1.685792804E0,-8.162944913E-1
9.818328750E-1,6.008225679E-1,-2.257478952E0,-7.591184974E-1
9.918308750E-1,1.297580481E0,-2.635687828E0,-2.808866799E-1
1.001828875E0,1.896947622E0,-2.975422859E0,-8.792766184E-2
1.011825875E0,2.259167433E0,-3.080931902E0,-8.930239081E-2
1.021823875E0,2.418430090E0,-3.152592182E0,-8.366151899E-2
1.031820875E0,2.430653572E0,-3.283843994E0,-7.194307446E-2
1.041818875E0,2.314861298E0,-3.451171160E0,9.977408499E-2
1.051816875E0,2.176404953E0,-3.626547098E0,3.240069151E-1
1.061813875E0,2.295372248E0,-3.777908087E0,4.350032806E-1
1.071811875E0,2.765072584E0,-3.736184359E0,2.419070601E-1
1.081808875E0,3.440486431E0,-3.398896456E0,-1.945918351E-1
1.091806875E0,3.861080647E0,-2.578640699E0,-7.113726735E-1
1.101804875E0,3.647869110E0,-1.254883885E0,-9.936617613E-1
1.111801875E0,2.991376638E0,8.356808126E-2,-1.040247679E0
1.121799875E0,2.254681110E0,9.120134711E-1,-1.032019973E0
1.131797875E0,1.777009130E0,1.197860122E0,-1.036958337E0
1.141794875E0,1.751196742E0,6.972734332E-1,-9.264349937E-1
1.151792875E0,2.283895016E0,-4.294508994E-1,-6.746248603E-1
1.161789875E0,3.219610453E0,-1.326052666E0,-6.028954983E-1
1.171787875E0,3.983713388E0,-1.779433727E0,-7.179938555E-1
1.181785875E0,4.208831787E0,-2.296977043E0,-1.058155060E0
1.191782875E0,3.897522211E0,-1.359776735E0,-1.532654762E0
1.201780875E0,3.026710272E0,-5.461968184E-1,-1.074262381E0
1.211777875E0,1.748875260E0,8.014814854E-1,-4.514523149E-1
1.221775875E0,6.200367212E-1,1.690417647E0,-5.057211518E-1
1.231773875E0,-4.456046596E-2,2.156212091E0,-2.069325596E-1
1.241770875E0,-1.423477381E-1,1.981971741E0,2.636016719E-2
1.251768875E0,2.189926207E-1,1.441713333E0,2.832263112E-1
1.261765875E0,7.767288089E-1,8.323448300E-1,6.301807761E-1
1.271763875E0,1.230595469E0,3.031539321E-1,1.084991217E0
1.281761875E0,1.361248732E0,3.713043407E-2,1.549919128E0
1.291758875E0,1.142279029E0,4.507118091E-2,1.947845221E0
1.301756875E0,7.490359545E-1,2.901150286E-1,2.099213123E0
1.311753875E0,4.417961538E-1,3.724980652E-1,2.166348219E0
1.321751875E0,3.940965235E-1,1.886553168E-1,2.211489677E0
1.331749875E0,5.448849797E-1,-2.399304695E-2,2.087945938E0
1.341746875E0,8.576661348E-1,-2.323877513E-1,1.974170208E0
1.351744875E0,1.199048042E0,-4.038857520E-1,1.964343905E0
1.361741875E0,1.436545849E0,-7.079328299E-1,2.114786148E0
1.371739875E0,1.552297473E0,-1.301682949E0,2.333770990E0
1.381737875E0,1.593221784E0,-2.127113819E0,2.611684561E0
1.391734875E0,1.548366427E0,-2.868549824E0,2.914921522E0
1.401732875E0,1.332737803E0,-3.291868210E0,3.194852591E0
1.411730875E0,9.388152361E-1,-3.335364819E0,3.445981741E0
1.421727875E0,3.707055748E-1,-3.109296560E0,3.691321611E0
1.431725875E0,-3.329098523E-1,-2.755706787E0,3.941843033E0
1.441722875E0,-1.077827334E0,-2.360574007E0,4.192999840E0
1.451720875E0,-1.765012145E0,-1.960072041E0,4.363114834E0
1.461718875E0,-2.310421705E0,-1.726794600E0,4.467565060E0
1.471715875E0,-2.732244730E0,-1.753157496E0,4.496984005E0
1.481713875E0,-2.969562531E0,-1.967326283E0,4.357155323E0
1.491710875E0,-3.038231373E0,-2.386572123E0,3.929280043E0
1.501708875E0,-3.179825306E0,-3.323649883E0,3.509509563E0
1.511706875E0,-3.273993969E0,-4.659186840E0,3.913580656E0
1.521703875E0,-2.781549454E0,-5.685632706E0,4.896091938E0
1.531701875E0,-2.121796370E0,-5.567918301E0,5.294327736E0
1.541699875E0,-1.939993024E0,-4.228791714E0,4.446067333E0
1.551696875E0,-2.477908373E0,-2.468482971E0,3.118540287E0
1.561694875E0,-3.050323963E0,-4.836556613E-1,1.691125154E0
1.571691875E0,-2.909876585E0,7.453711033E-1,1.498113722E-1
1.581689875E0,-2.138720512E0,1.053489923E0,-1.313685179E0
1.591687875E0,-1.276345849E0,5.932632685E-1,-2.385083437E0
1.601684875E0,-5.946468115E-1,-2.649410963E-1,-2.482939243E0
1.611682875E0,-1.572939157E-1,-9.164933562E-1,-1.859180093E0
1.621679875E0,-1.856617779E-1,-1.073782325E0,-1.160716534E0
1.631677875E0,-6.394705176E-1,-8.350480199E-1,-6.855232716E-1
1.641675875E0,-1.377522588E0,-3.364607692E-1,-4.302980304E-1
1.651672875E0,-2.214667320E0,1.991317868E-1,-3.672298491E-1
1.661670875E0,-3.035421371E0,6.872441769E-1,-3.664692044E-1
1.671667875E0,-3.668195486E0,1.056895256E0,-3.928219974E-1
1.681665875E0,-3.967380762E0,1.226524711E0,-4.209370315E-1
1.691663875E0,-3.857450485E0,1.157770872E0,-4.425107539E-1
