"Time (s)","X (hPa)"
1.754497301E2,9.648798370E2
1.765156951E2,9.648834991E2
1.775816781E2,9.648894501E2
1.786476751E2,9.648914337E2
1.797136941E2,9.648914337E2
1.807796501E2,9.648843384E2
1.818456451E2,9.648831940E2
1.829116111E2,9.648783112E2
1.839775851E2,9.648773193E2
1.850435771E2,9.648764801E2
1.861095881E2,9.648747253E2
1.871755801E2,9.648710632E2
1.882415781E2,9.648709106E2
1.893075991E2,9.648654175E2
1.903736341E2,9.648640442E2
1.914396401E2,9.648609924E2
1.925056071E2,9.648567200E2
1.935715521E2,9.648471069E2
1.946375091E2,9.648397827E2
1.957035131E2,9.648265839E2
1.967694841E2,9.648158264E2
1.978354931E2,9.648107147E2
1.989014901E2,9.648046112E2
1.999674741E2,9.647985840E2
2.010334751E2,9.647984314E2
2.020994531E2,9.647913361E2
2.031654341E2,9.647844696E2
2.042314181E2,9.647745514E2
2.052974251E2,9.647663879E2
2.063634251E2,9.647503662E2
2.074294181E2,9.647493744E2
2.084953881E2,9.647409821E2
2.095613431E2,9.647342682E2
2.106272951E2,9.647342682E2
2.116932601E2,9.647416687E2
2.127592141E2,9.647437286E2
2.138251551E2,9.647486877E2
2.148910831E2,9.647621918E2
2.159570031E2,9.647654724E2
2.170228501E2,9.647654724E2
2.180887111E2,9.647639465E2
2.191545611E2,9.647628021E2
2.202204251E2,9.647544861E2
2.212863121E2,9.647488403E2
2.223521911E2,9.647386932E2
2.234180801E2,9.647343445E2
2.244839551E2,9.647267914E2
2.255498761E2,9.647218323E2
2.266157471E2,9.647134399E2
2.276816661E2,9.647122955E2
2.287475801E2,9.647013855E2
2.298135001E2,9.646949768E2
2.308793751E2,9.646868896E2
2.319452871E2,9.646868134E2
2.330111891E2,9.646768951E2
2.340770851E2,9.646758270E2
2.351429761E2,9.646688080E2
2.362088691E2,9.646665955E2
2.372748651E2,9.646569061E2
2.383408391E2,9.646569061E2
2.394068141E2,9.646495819E2
2.404727611E2,9.646463776E2
2.415387581E2,9.646424103E2
2.426047311E2,9.646417999E2
2.436706921E2,9.646371460E2
2.447366191E2,9.646366882E2
2.458025761E2,9.646323395E2
2.468685401E2,9.646276093E2
2.479344841E2,9.646216583E2
2.490004431E2,9.646186066E2
2.500664071E2,9.646133423E2
2.511323351E2,9.646096802E2
2.521982631E2,9.646082306E2
2.532641931E2,9.646037292E2
2.543301231E2,9.646022797E2
2.553960481E2,9.645953369E2
2.564619791E2,9.645928955E2
2.575278791E2,9.645822144E2
2.585937901E2,9.645806122E2
2.596596971E2,9.645732117E2
2.607255651E2,9.645715332E2
2.617914121E2,9.645693207E2
2.628572751E2,9.645691681E2
2.639231701E2,9.645650482E2
2.649890601E2,9.645629120E2
2.660549691E2,9.645604706E2
2.671208821E2,9.645540619E2
2.681867741E2,9.645486450E2
2.692526911E2,9.645455933E2
2.703185821E2,9.645413208E2
2.713844631E2,9.645381927E2
2.724503231E2,9.645372772E2
2.735162101E2,9.645340729E2
2.745820681E2,9.645298004E2
2.756479511E2,9.645230103E2
2.767137921E2,9.645160675E2
2.777796641E2,9.644989014E2
2.788455271E2,9.644843292E2
2.799114201E2,9.644692230E2
2.809772831E2,9.644593048E2
2.820431421E2,9.644521332E2
2.831090111E2,9.644521332E2
2.841748411E2,9.644600677E2
2.852406451E2,9.644686890E2
2.863064151E2,9.644693756E2
2.873721471E2,9.644764709E2
2.884379111E2,9.644785309E2
2.895036781E2,9.644785309E2
2.905694671E2,9.644807434E2
2.916352431E2,9.644789886E2
2.927010631E2,9.644792175E2
2.937668741E2,9.644792175E2
2.948326921E2,9.644831848E2
2.958985361E2,9.644841003E2
2.969643701E2,9.644880676E2
2.980301801E2,9.644919586E2
2.990960081E2,9.644919586E2
3.001617951E2,9.644902039E2
3.012276141E2,9.644901276E2
3.022934231E2,9.644901276E2
3.033592211E2,9.644910431E2
3.044250261E2,9.644910431E2
3.054908271E2,9.644894409E2
3.065566391E2,9.644876099E2
3.076224491E2,9.644869232E2
3.086882481E2,9.644820404E2
3.097540451E2,9.644774628E2
3.108198431E2,9.644769287E2
3.118857001E2,9.644728088E2
