"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.803421330E1,4.737074968E1,8.513977917E0,4.203063640E2,2.059690021E0,1.395420532E2,1.424595458E1,4.969426992E0
4.903423464E1,4.737072111E1,8.514013783E0,4.209212092E2,3.122353031E0,1.395420532E2,1.424595459E1,5.085676342E0
5.003425765E1,4.737070162E1,8.514038251E0,4.208240826E2,3.286955521E0,1.395420532E2,1.424595460E1,5.245977413E0
5.103427947E1,4.737067840E1,8.514066484E0,4.220015296E2,3.670635747E0,1.395420532E2,1.424595458E1,5.242808976E0
5.203430057E1,4.737065733E1,8.514076512E0,4.218517757E2,3.402334809E0,1.356321106E2,1.424595459E1,4.996053815E0
5.303432298E1,4.737064185E1,8.514118597E0,4.214988982E2,3.430406929E0,1.356321106E2,1.424595462E1,5.296302178E0
5.403434432E1,4.737062271E1,8.514113009E0,4.216202667E2,2.486332137E0,1.356321106E2,1.424595462E1,5.507204116E0
5.503436649E1,4.737058216E1,8.514071699E0,4.214210951E2,2.337987752E0,1.837987593E2,1.424595453E1,5.928075765E0
5.603438830E1,4.737055810E1,8.514052629E0,4.211675530E2,2.385647750E0,1.867644958E2,1.424595450E1,5.896975380E0
5.703441012E1,4.737053693E1,8.514034930E0,4.214380416E2,2.225930601E0,1.867644958E2,1.424595451E1,5.486036216E0
5.803443146E1,4.737053148E1,8.513997466E0,4.211842197E2,2.044006013E0,1.867644958E2,1.424595453E1,5.181501211E0
5.903445303E1,4.737051764E1,8.513995048E0,4.213739809E2,2.240568306E0,1.867644958E2,1.424595452E1,5.178718395E0
6.003447509E1,4.737049903E1,8.513991800E0,4.205735774E2,2.503490324E0,2.351371104E2,1.424595450E1,5.256457550E0
6.103449619E1,4.737047302E1,8.513974395E0,4.209700283E2,2.987395422E0,2.379684684E2,1.424595447E1,5.125129233E0
6.203451777E1,4.737045734E1,8.513950748E0,4.208389351E2,2.734580868E0,2.398594315E2,1.424595454E1,5.042311581E0
6.303454006E1,4.737045546E1,8.513916614E0,4.216067095E2,3.032856974E0,2.574717424E2,1.424595459E1,5.143255575E0
6.403456187E1,4.737044776E1,8.513874102E0,4.208838954E2,3.208257495E0,2.612325053E2,1.424595462E1,5.242320672E0
6.503458393E1,4.737043387E1,8.513828356E0,4.204041653E2,3.122763158E0,2.566846366E2,1.424595461E1,5.728098643E0
6.603460455E1,4.737041764E1,8.513776008E0,4.215279166E2,3.183887565E0,2.479348107E2,1.424595456E1,5.680798883E0
6.703462672E1,4.737040659E1,8.513720456E0,4.199683197E2,2.940285033E0,2.418082679E2,1.424595449E1,5.683426816E0
6.803464782E1,4.737038196E1,8.513600063E0,4.221782163E2,2.712095060E0,2.313232269E2,1.424595448E1,5.763150471E0
6.903466976E1,4.737036215E1,8.513560821E0,4.210999839E2,3.154810545E0,2.313232269E2,1.424595449E1,5.446873189E0
7.003469121E1,4.737033508E1,8.513544697E0,4.224845325E2,3.190597494E0,2.313232269E2,1.424595451E1,5.201641674E0
7.103471267E1,4.737028809E1,8.513552112E0,4.217238896E2,3.701076449E0,1.917080022E2,1.424595444E1,5.186092399E0
7.203473389E1,4.737026777E1,8.513583542E0,4.228400953E2,3.320197231E0,1.692391357E2,1.424595445E1,5.395809960E0
