"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.118498750E-1,-1.532369995E1,-3.005634499E1,-3.189200592E1
9.218478750E-1,-1.494453430E1,-3.036833000E1,-3.177092743E1
9.318448750E-1,-1.501779175E1,-3.059237099E1,-3.142607117E1
9.418428750E-1,-1.510182190E1,-3.065301323E1,-3.123771667E1
9.518408750E-1,-1.546553040E1,-3.066547775E1,-3.084067154E1
9.618378750E-1,-1.564627075E1,-3.085958099E1,-3.088385391E1
9.718358750E-1,-1.592362976E1,-3.084923553E1,-3.050505066E1
9.818328750E-1,-1.628089905E1,-3.096857452E1,-2.987232971E1
9.918308750E-1,-1.691804504E1,-3.124745750E1,-2.963827133E1
1.001828875E0,-1.745394897E1,-3.171523094E1,-2.867087173E1
1.011825875E0,-1.825282288E1,-3.216365433E1,-2.723575592E1
1.021823875E0,-1.901544189E1,-3.288433838E1,-2.621556854E1
1.031820875E0,-1.975276184E1,-3.356277466E1,-2.499190140E1
1.041818875E0,-2.046662903E1,-3.405464172E1,-2.372539902E1
1.051816875E0,-2.124565125E1,-3.447729492E1,-2.199240494E1
1.061813875E0,-2.216368103E1,-3.500995636E1,-2.073731613E1
1.071811875E0,-2.294940186E1,-3.540841675E1,-1.907567596E1
1.081808875E0,-2.350111389E1,-3.581309509E1,-1.696847534E1
1.091806875E0,-2.410643005E1,-3.636676025E1,-1.458895493E1
1.101804875E0,-2.413629150E1,-3.707467651E1,-1.277347946E1
1.111801875E0,-2.391291809E1,-3.770623779E1,-1.112361908E1
1.121799875E0,-2.332814026E1,-3.817002106E1,-1.001948929E1
1.131797875E0,-2.287088013E1,-3.887263489E1,-9.315925598E0
1.141794875E0,-2.246842957E1,-3.914869690E1,-9.096305847E0
1.151792875E0,-2.213488770E1,-3.972060776E1,-8.225818634E0
1.161789875E0,-2.168125916E1,-4.011700821E1,-7.256771088E0
1.171787875E0,-2.156343079E1,-4.064939880E1,-5.752025604E0
1.181785875E0,-2.144476318E1,-4.090332794E1,-3.714450836E0
1.191782875E0,-2.110990906E1,-4.132552338E1,-1.519470215E0
1.201780875E0,-2.057589722E1,-4.170460510E1,3.617630005E-1
1.211777875E0,-2.021438599E1,-4.179380417E1,1.558280945E0
1.221775875E0,-2.011022949E1,-4.214583969E1,1.962162018E0
1.231773875E0,-1.980960083E1,-4.198584747E1,2.009380341E0
1.241770875E0,-1.987011719E1,-4.203317261E1,1.653858185E0
1.251768875E0,-1.998036194E1,-4.212963104E1,1.451980591E0
1.261765875E0,-2.016990662E1,-4.218939209E1,1.366577148E0
1.271763875E0,-2.044590759E1,-4.209971619E1,1.370399475E0
1.281761875E0,-2.079931641E1,-4.202086639E1,1.540477753E0
1.291758875E0,-2.127818298E1,-4.158900452E1,2.216712952E0
1.301756875E0,-2.213621521E1,-4.114160919E1,2.454399109E0
1.311753875E0,-2.297865295E1,-4.058129120E1,2.820194244E0
1.321751875E0,-2.381468201E1,-4.017760468E1,2.873382568E0
1.331749875E0,-2.474067688E1,-3.947686768E1,3.038803101E0
1.341746875E0,-2.544328308E1,-3.892803192E1,3.120117188E0
1.351744875E0,-2.636592102E1,-3.839077377E1,3.503776550E0
1.361741875E0,-2.724546814E1,-3.793986130E1,4.027759552E0
1.371739875E0,-2.795745850E1,-3.718029022E1,4.776161194E0
1.381737875E0,-2.859272766E1,-3.651609039E1,5.618156433E0
1.391734875E0,-2.945541382E1,-3.554970551E1,6.960056305E0
1.401732875E0,-3.019725037E1,-3.451766968E1,8.251380920E0
1.411730875E0,-3.100827026E1,-3.331945419E1,9.926773071E0
1.421727875E0,-3.195536804E1,-3.223210907E1,1.142782593E1
1.431725875E0,-3.287057495E1,-3.103212929E1,1.241106033E1
1.441722875E0,-3.361782837E1,-2.998642921E1,1.298827362E1
1.451720875E0,-3.431829834E1,-2.855129433E1,1.356049538E1
1.461718875E0,-3.517269897E1,-2.713229561E1,1.376985550E1
1.471715875E0,-3.615019226E1,-2.582633400E1,1.350099373E1
1.481713875E0,-3.689920044E1,-2.458382225E1,1.379755211E1
1.491710875E0,-3.754869080E1,-2.344175339E1,1.388465309E1
1.501708875E0,-3.822125244E1,-2.234862518E1,1.425490570E1
1.511706875E0,-3.831497192E1,-2.129919243E1,1.479933929E1
1.521703875E0,-3.832974243E1,-2.007708549E1,1.612793732E1
1.531701875E0,-3.822612000E1,-1.860823631E1,1.757193184E1
1.541699875E0,-3.817539978E1,-1.710698509E1,1.916511154E1
1.551696875E0,-3.783651733E1,-1.573774529E1,2.039182281E1
1.561694875E0,-3.780416870E1,-1.496513939E1,2.109732819E1
1.571691875E0,-3.783489990E1,-1.505108261E1,2.085386848E1
1.581689875E0,-3.800590515E1,-1.536843872E1,2.023576546E1
1.591687875E0,-3.805374146E1,-1.617170143E1,1.959642410E1
1.601684875E0,-3.793135071E1,-1.739311409E1,1.917348671E1
1.611682875E0,-3.765463257E1,-1.841404915E1,1.920772934E1
1.621679875E0,-3.722402954E1,-1.919883156E1,1.953512192E1
1.631677875E0,-3.674993896E1,-1.960187912E1,1.953749847E1
1.641675875E0,-3.650494385E1,-2.007394028E1,1.966298103E1
1.651672875E0,-3.637597656E1,-2.055352402E1,1.943580437E1
1.661670875E0,-3.632894897E1,-2.108522034E1,1.890636635E1
1.671667875E0,-3.642639160E1,-2.174634361E1,1.798305321E1
1.681665875E0,-3.666761780E1,-2.250574303E1,1.692243958E1
1.691663875E0,-3.685421753E1,-2.329789162E1,1.561460495E1
1.701660875E0,-3.684748840E1,-2.407800865E1,1.423270607E1
1.711658875E0,-3.691801453E1,-2.483278465E1,1.289500809E1
1.721656875E0,-3.697080994E1,-2.525714302E1,1.212746811E1
1.731653875E0,-3.705383301E1,-2.558595467E1,1.136957169E1
1.741651875E0,-3.712738037E1,-2.575689125E1,1.085544586E1
1.751648875E0,-3.712374878E1,-2.592176247E1,1.031957245E1
1.761646875E0,-3.704612732E1,-2.608930779E1,9.843856812E0
1.771644875E0,-3.700486755E1,-2.619922447E1,9.523841858E0
1.781641875E0,-3.671414185E1,-2.657319450E1,9.102909088E0
1.791639875E0,-3.660215759E1,-2.703292274E1,8.677391052E0
1.801636875E0,-3.606294250E1,-2.764062309E1,8.883728027E0
1.811634875E0,-3.551818848E1,-2.856790733E1,8.773872375E0
1.821632875E0,-3.488589478E1,-2.901724434E1,8.960704803E0
1.831629875E0,-3.434321594E1,-2.979653168E1,8.988929749E0
1.841627875E0,-3.352421570E1,-3.079528046E1,8.655799866E0
1.851625875E0,-3.250769043E1,-3.187920761E1,8.235431671E0
1.861622875E0,-3.086407471E1,-3.332588577E1,7.995956421E0
1.871621125E0,-2.884059143E1,-3.501213837E1,8.090118408E0
1.881618125E0,-2.614604187E1,-3.668095779E1,8.697917938E0
1.891616125E0,-2.333029175E1,-3.848423386E1,9.372085571E0
1.901614125E0,-2.057937622E1,-4.011767960E1,9.860908508E0
1.911611125E0,-1.777131653E1,-4.146986008E1,1.009125900E1
1.921609125E0,-1.507756042E1,-4.221367645E1,1.079633331E1
1.931606125E0,-1.275181580E1,-4.287068939E1,1.140980530E1
1.941604125E0,-1.061763000E1,-4.313439178E1,1.240425491E1
1.951602125E0,-8.562698364E0,-4.352277374E1,1.332874680E1
1.961599125E0,-6.746627808E0,-4.361310196E1,1.427589798E1
1.971597125E0,-4.907745361E0,-4.374721146E1,1.479716301E1
1.981595125E0,-3.336486816E0,-4.377456284E1,1.539579201E1
1.991592125E0,-2.012496948E0,-4.385308456E1,1.576002693E1
2.001590125E0,-1.066467285E0,-4.354412079E1,1.658702278E1
2.011587125E0,-5.357360840E-1,-4.347179413E1,1.675371933E1
2.021585125E0,-7.605743408E-1,-4.327780914E1,1.754094124E1
2.031583125E0,-1.203155518E0,-4.319764709E1,1.782033730E1
2.041580125E0,-2.304702759E0,-4.288793945E1,1.814812660E1
2.051578125E0,-3.606018066E0,-4.286248016E1,1.808099174E1
2.061576125E0,-5.277633667E0,-4.262615967E1,1.786878014E1
2.071573125E0,-7.217315674E0,-4.247421265E1,1.778104401E1
2.081571125E0,-9.574829102E0,-4.213674927E1,1.738616753E1
2.091568125E0,-1.176937866E1,-4.185330963E1,1.696405792E1
2.101566125E0,-1.416053772E1,-4.104413605E1,1.671813393E1
2.111564125E0,-1.669078064E1,-4.033673096E1,1.646062469E1
2.121561125E0,-1.909172058E1,-3.914757156E1,1.649357796E1
2.131559125E0,-2.139372253E1,-3.776924515E1,1.687559509E1
2.141557125E0,-2.329216003E1,-3.604779816E1,1.766567612E1
2.151554125E0,-2.537155151E1,-3.465184402E1,1.822392082E1
2.161552125E0,-2.717654419E1,-3.260560608E1,1.925031281E1
2.171549125E0,-2.853645325E1,-3.100466919E1,1.942372704E1
2.181547125E0,-3.007958984E1,-2.921921349E1,1.968334770E1
2.191545125E0,-3.130421448E1,-2.796589088E1,1.934006119E1
2.201542125E0,-3.235597229E1,-2.689381790E1,1.924562836E1
2.211540125E0,-3.327897644E1,-2.622206879E1,1.879264832E1
2.221538125E0,-3.368762207E1,-2.560983658E1,1.835839272E1
2.231535125E0,-3.408590698E1,-2.475463486E1,1.861461449E1
2.241533125E0,-3.455947876E1,-2.310287094E1,1.969196892E1
2.251530125E0,-3.508320618E1,-2.092596436E1,2.101222610E1
2.261528125E0,-3.542884827E1,-1.856107330E1,2.226065254E1
2.271526125E0,-3.570843506E1,-1.687929153E1,2.322530556E1
2.281523125E0,-3.557362366E1,-1.600953293E1,2.367965698E1
2.291521125E0,-3.541601562E1,-1.616378784E1,2.408749962E1
2.301518125E0,-3.483189392E1,-1.680665016E1,2.454102325E1
2.311516125E0,-3.419741821E1,-1.773890495E1,2.479366493E1
2.321514125E0,-3.353015137E1,-1.842236900E1,2.495979118E1
2.331511125E0,-3.320674133E1,-1.923420143E1,2.489491653E1
2.341509125E0,-3.307087708E1,-1.981158638E1,2.503516769E1
2.351507125E0,-3.305213928E1,-2.049938011E1,2.475438118E1
2.361504125E0,-3.300254822E1,-2.102731133E1,2.474220467E1
2.371502125E0,-3.297668457E1,-2.154748344E1,2.437859917E1
2.381499125E0,-3.294589233E1,-2.200589371E1,2.405034637E1
2.391497125E0,-3.312881470E1,-2.263187027E1,2.353286743E1
2.401495125E0,-3.313735962E1,-2.282212257E1,2.311037827E1
2.411492125E0,-3.329815674E1,-2.312234688E1,2.252784348E1
2.421490125E0,-3.355484009E1,-2.318968391E1,2.178324699E1
2.431488125E0,-3.396498108E1,-2.328425026E1,2.145115471E1
2.441485125E0,-3.406874084E1,-2.323482513E1,2.088200188E1
2.451483125E0,-3.451225281E1,-2.354039383E1,2.024072647E1
2.461480125E0,-3.441098022E1,-2.379023743E1,1.982545280E1
2.471478125E0,-3.462782288E1,-2.419418716E1,1.941165543E1
2.481476125E0,-3.438034058E1,-2.462539482E1,1.906330109E1
2.491473125E0,-3.392536926E1,-2.515285683E1,1.888964081E1
2.501471125E0,-3.332745361E1,-2.582524872E1,1.892395210E1
2.511469125E0,-3.267750549E1,-2.645246887E1,1.962356567E1
2.521466125E0,-3.173051453E1,-2.714311218E1,2.011343193E1
2.531464125E0,-3.079319763E1,-2.797065735E1,2.072069168E1
2.541461125E0,-2.937709045E1,-2.882577324E1,2.116864967E1
2.551459125E0,-2.823683167E1,-2.992467690E1,2.129129982E1
2.561457125E0,-2.716433716E1,-3.105145073E1,2.133423615E1
2.571454125E0,-2.624884033E1,-3.225309753E1,2.009337997E1
2.581452125E0,-2.516474915E1,-3.346551514E1,1.928526115E1
2.591450125E0,-2.422743225E1,-3.472216034E1,1.847818947E1
2.601447125E0,-2.278027344E1,-3.577521515E1,1.831034660E1
2.611445125E0,-2.144322205E1,-3.685004425E1,1.806728363E1
2.621442125E0,-1.974626160E1,-3.780360413E1,1.775736046E1
2.631440125E0,-1.842732239E1,-3.883862305E1,1.732890129E1
2.641438125E0,-1.708479309E1,-3.956333160E1,1.723179054E1
2.651435125E0,-1.581980896E1,-4.024751282E1,1.718916702E1
2.661433125E0,-1.437428284E1,-4.046763229E1,1.734907532E1
2.671431125E0,-1.288316345E1,-4.092718124E1,1.808149719E1
2.681428125E0,-1.130183411E1,-4.106280899E1,1.869918060E1
2.691426125E0,-9.995773315E0,-4.125980759E1,1.954915619E1
2.701424125E0,-8.607421875E0,-4.095267487E1,2.072108459E1
2.711421125E0,-7.421661377E0,-4.076490021E1,2.136912155E1
2.721419125E0,-6.413925171E0,-4.050576019E1,2.211903954E1
2.731416125E0,-5.673568726E0,-4.047640991E1,2.235275269E1
2.741414125E0,-5.331146240E0,-4.052438354E1,2.245839119E1
2.751412125E0,-5.298812866E0,-4.077377319E1,2.231497002E1
2.761409125E0,-5.582885742E0,-4.093487549E1,2.149917030E1
2.771407125E0,-6.014999390E0,-4.151496124E1,1.983966827E1
2.781405125E0,-6.880584717E0,-4.197462845E1,1.852110672E1
2.791402125E0,-8.291275024E0,-4.253985214E1,1.700195312E1
2.801400125E0,-9.539108276E0,-4.272047424E1,1.562104988E1
2.811398125E0,-1.101779175E1,-4.280917358E1,1.404340744E1
2.821395125E0,-1.262850952E1,-4.258688354E1,1.324647522E1
2.831393125E0,-1.430027771E1,-4.244145966E1,1.289923859E1
2.841390125E0,-1.567956543E1,-4.171002197E1,1.316595078E1
2.851388125E0,-1.708705139E1,-4.112405396E1,1.359056091E1
2.861386125E0,-1.864627075E1,-4.025128174E1,1.448692513E1
2.871382417E0,-1.994566345E1,-3.931816864E1,1.513192177E1
2.881380417E0,-2.118812561E1,-3.816491699E1,1.572484970E1
2.891378417E0,-2.264588928E1,-3.727548218E1,1.636313820E1
2.901375417E0,-2.408551025E1,-3.631042099E1,1.633228111E1
2.911373417E0,-2.551667786E1,-3.526326752E1,1.617147446E1
2.921371417E0,-2.669338989E1,-3.448102570E1,1.588359642E1
2.931368417E0,-2.777522278E1,-3.399569702E1,1.556235123E1
2.941366417E0,-2.847189331E1,-3.355121613E1,1.522587395E1
2.951363417E0,-2.902011108E1,-3.313964081E1,1.502327156E1
2.961361417E0,-2.936332703E1,-3.262524414E1,1.540711403E1
2.971359417E0,-3.010638428E1,-3.128086090E1,1.714156342E1
2.981356417E0,-3.071376038E1,-3.000386620E1,1.854579163E1
2.991354417E0,-3.145854187E1,-2.864439583E1,1.964889336E1
3.001352417E0,-3.181907654E1,-2.752617455E1,2.040337753E1
3.011349417E0,-3.199479675E1,-2.729387856E1,2.057202148E1
3.021347417E0,-3.162208557E1,-2.753416252E1,2.039996910E1
3.031344417E0,-3.101240540E1,-2.840160179E1,2.034068298E1
3.041342417E0,-3.007730103E1,-2.944137383E1,2.002426720E1
3.051340417E0,-2.924604797E1,-3.034368324E1,2.000011635E1
3.061337417E0,-2.845425415E1,-3.094333839E1,2.030245209E1
3.071335417E0,-2.786776733E1,-3.158825111E1,2.050937653E1
3.081333417E0,-2.741442871E1,-3.201568604E1,1.996858406E1
3.091330417E0,-2.714631653E1,-3.254473495E1,1.967374802E1
3.101328417E0,-2.704808044E1,-3.289508057E1,1.902261162E1
3.111326417E0,-2.706225586E1,-3.324718475E1,1.857581329E1
3.121323417E0,-2.734173584E1,-3.344482422E1,1.806981087E1
