"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748959640039447E9,"2025-06-03 16:07:20.039 UTC+02:00"
"PAUSE",4.922985000011977E-1,1.748959640531749E9,"2025-06-03 16:07:20.532 UTC+02:00"
"START",4.922985000011977E-1,1.748959657029686E9,"2025-06-03 16:07:37.030 UTC+02:00"
"PAUSE",2.435798931666650E2,1.748959900120571E9,"2025-06-03 16:11:40.121 UTC+02:00"
"START",2.435798931666650E2,1.748959907925580E9,"2025-06-03 16:11:47.926 UTC+02:00"
"PAUSE",2.461742834583347E2,1.748959910520012E9,"2025-06-03 16:11:50.520 UTC+02:00"
"START",2.461742834583347E2,1.748959917355791E9,"2025-06-03 16:11:57.356 UTC+02:00"
"PAUSE",3.011222057083360E2,1.748959972304413E9,"2025-06-03 16:12:52.304 UTC+02:00"
