"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.122201250E-1,4.665498047E0,2.190993805E0,4.024680634E0
8.222171250E-1,5.237159271E0,1.766177216E0,4.372856598E0
8.322141250E-1,5.808670807E0,1.782044220E0,5.191204834E0
8.422121250E-1,6.021378479E0,2.088756409E0,5.913602600E0
8.522091250E-1,5.748046875E0,1.963317261E0,6.657705231E0
8.622061250E-1,5.153183899E0,1.631157990E0,7.104076996E0
8.722031250E-1,5.699996796E0,8.934919739E-1,7.216343536E0
8.822001250E-1,6.461313629E0,1.901046753E-2,7.489076385E0
8.921971250E-1,7.309599609E0,-6.137237549E-1,7.403304749E0
9.021941250E-1,8.261021118E0,-7.165599060E-1,6.738986206E0
9.121911250E-1,7.979007568E0,-7.955955505E-1,5.808521118E0
9.221881250E-1,6.537505188E0,-1.234333191E0,4.780758362E0
9.321850000E-1,6.279292145E0,-2.386038208E0,3.598516846E0
9.421820000E-1,6.542295227E0,-2.952610016E0,2.275717621E0
9.521800000E-1,6.475534058E0,-2.818638611E0,8.235873413E-1
9.621770000E-1,6.383325806E0,-3.107837219E0,-6.005511475E-1
9.721740000E-1,6.249204712E0,-3.812122650E0,-1.820963287E0
9.821710000E-1,6.152206421E0,-4.471950531E0,-2.699636078E0
9.921680000E-1,6.090834045E0,-5.020859070E0,-3.108286285E0
1.002165000E0,6.112538910E0,-5.454058228E0,-3.561394043E0
1.012162000E0,6.093229065E0,-6.069129181E0,-3.788471832E0
1.022159000E0,5.806425476E0,-6.770720215E0,-3.603606262E0
1.032156000E0,5.832920380E0,-7.145989838E0,-3.317401428E0
1.042153000E0,6.188580780E0,-7.490872650E0,-2.989283752E0
1.052150000E0,7.626790009E0,-7.557783508E0,-2.511477356E0
1.062147000E0,9.855355682E0,-6.961573334E0,-2.165546722E0
1.072145000E0,1.118878281E1,-6.480324097E0,-1.817071381E0
1.082142000E0,1.173155411E1,-6.476432190E0,-1.253643036E0
1.092139000E0,1.191552155E1,-6.620133362E0,-4.983137512E-1
1.102136000E0,1.208871140E1,-6.696324921E0,1.788780212E-1
1.112133000E0,1.242176880E1,-6.827452240E0,8.111631775E-1
1.122130000E0,1.356329498E1,-6.738237762E0,1.404229889E0
1.132127000E0,1.502665192E1,-6.228996735E0,2.081721039E0
1.142124000E0,1.600771179E1,-5.483846283E0,2.602787476E0
1.152121000E0,1.636606659E1,-4.870272217E0,2.866089935E0
1.162118000E0,1.605531281E1,-4.584516449E0,2.855611725E0
1.172115000E0,1.534878204E1,-4.541406097E0,2.882406006E0
1.182113000E0,1.463312027E1,-4.806504822E0,3.100951538E0
1.192110000E0,1.423898987E1,-5.275778961E0,3.693569183E0
1.202107000E0,1.423494827E1,-5.494923248E0,4.467010803E0
1.212104000E0,1.454151077E1,-5.032684479E0,5.191055145E0
1.222101000E0,1.533950134E1,-4.083957367E0,5.761668549E0
1.232098000E0,1.628718063E1,-2.866688690E0,6.030659180E0
1.242095000E0,1.718246887E1,-1.702110443E0,5.903423767E0
1.252092000E0,1.756881546E1,-8.592132568E-1,5.380860443E0
1.262089000E0,1.744637009E1,-3.585044861E-1,4.840334473E0
1.272086000E0,1.689102493E1,-1.787283325E-1,4.454736328E0
1.282083000E0,1.615216141E1,-4.234693909E-1,4.327800293E0
1.292080000E0,1.569680832E1,-8.807684326E-1,4.417014771E0
1.302078000E0,1.541554321E1,-1.283580780E0,4.496200104E0
1.312075000E0,1.556747726E1,-1.491348724E0,4.715344391E0
1.322072000E0,1.605785751E1,-1.511257324E0,5.312303009E0
1.332069000E0,1.615021545E1,-1.239422607E0,5.682333527E0
1.342066000E0,1.580308731E1,-1.206790466E0,5.612728271E0
1.352063000E0,1.528157181E1,-1.444346466E0,5.322032776E0
1.362060000E0,1.491648102E1,-1.595681763E0,5.031337280E0
1.372057000E0,1.488414825E1,-1.478475494E0,4.908891907E0
1.382054000E0,1.492950394E1,-9.297166443E-1,5.134323120E0
1.392051000E0,1.468087097E1,-2.118095398E-1,5.266198883E0
1.402048000E0,1.446951050E1,4.087998962E-1,5.104834442E0
1.412045000E0,1.455153992E1,8.211923218E-1,4.850064240E0
1.422043000E0,1.493579086E1,7.223977661E-1,4.507277069E0
1.432040000E0,1.504656052E1,3.709286499E-1,4.048780518E0
1.442037000E0,1.476619354E1,-5.972579956E-2,3.714974670E0
1.452034000E0,1.418135971E1,-5.150788879E-1,3.637884979E0
1.462031000E0,1.348246307E1,-9.424401855E-1,3.672463074E0
1.472028000E0,1.269465134E1,-1.438658295E0,3.616778870E0
1.482025000E0,1.209889023E1,-1.977837067E0,3.525468750E0
1.492022000E0,1.185564606E1,-2.650089111E0,3.341950378E0
1.502019000E0,1.203123093E1,-3.367696838E0,3.169508972E0
1.512016000E0,1.233614685E1,-3.875740356E0,3.125350800E0
1.522013000E0,1.242670853E1,-4.246070251E0,3.070265350E0
1.532010000E0,1.233973938E1,-4.498595123E0,2.888842621E0
1.542008000E0,1.237177277E1,-4.737049255E0,2.625240784E0
1.552005000E0,1.247026794E1,-4.977599030E0,2.333647156E0
1.562002000E0,1.224678268E1,-5.038821716E0,1.937870178E0
1.571999000E0,1.193273575E1,-4.926106110E0,1.537003784E0
1.581996000E0,1.160656403E1,-4.805457001E0,1.167572021E0
1.591993000E0,1.131018036E1,-4.735552368E0,9.165440369E-1
1.601990000E0,1.089389603E1,-4.713697815E0,7.996371460E-1
1.611987000E0,1.059406952E1,-4.685706024E0,7.512876892E-1
1.621984000E0,1.036399796E1,-4.753065948E0,7.460485840E-1
1.631981000E0,1.020068756E1,-4.854704590E0,7.186555481E-1
1.641978000E0,9.917027435E0,-5.041067047E0,6.903643799E-1
1.651975000E0,9.592951355E0,-5.253774719E0,6.201603699E-1
1.661973000E0,9.285341034E0,-5.561983795E0,5.671705627E-1
1.671970000E0,8.950786743E0,-5.851930847E0,5.836363220E-1
1.681967000E0,8.732989655E0,-6.069278870E0,6.533912659E-1
1.691964000E0,8.560398560E0,-6.172713776E0,7.610174561E-1
1.701961000E0,8.423433380E0,-6.257587280E0,8.292755127E-1
1.711958000E0,8.354875946E0,-6.337970123E0,8.412506104E-1
1.721955000E0,8.176746368E0,-6.368057556E0,7.848179626E-1
1.731952000E0,7.981402588E0,-6.375841370E0,7.250921631E-1
1.741949000E0,7.845185852E0,-6.493646393E0,7.113208008E-1
1.751946000E0,7.486082611E0,-6.602170715E0,6.738986206E-1
1.761943000E0,7.141050110E0,-6.649322662E0,6.327342224E-1
1.771940000E0,6.888674927E0,-6.871460724E0,5.959107971E-1
1.781938000E0,6.615792389E0,-7.199428711E0,5.255570984E-1
1.791935000E0,6.275998993E0,-7.533533936E0,3.097059631E-1
1.801932000E0,6.098767548E0,-7.859855347E0,1.197509766E-2
1.811929000E0,5.913153534E0,-8.115823059E0,-1.803749084E-1
1.821926000E0,5.607788544E0,-8.308023376E0,-4.192781067E-1
1.831923000E0,5.453908539E0,-8.400081940E0,-6.285429382E-1
1.841920000E0,5.413492584E0,-8.425978088E0,-8.434959412E-1
1.851917000E0,5.615422668E0,-8.607400818E0,-9.487271118E-1
1.861914000E0,6.061345367E0,-8.941655731E0,-8.122109985E-1
1.871911000E0,6.436165924E0,-9.260343018E0,-5.598358154E-1
1.881908000E0,6.633904724E0,-9.421108704E0,-2.207908630E-1
1.891905000E0,6.771318970E0,-9.468560028E0,2.071691895E-1
1.901903000E0,6.894812164E0,-9.468859406E0,6.459068298E-1
1.911900000E0,6.929989014E0,-9.205556946E0,1.133442993E0
1.921897000E0,6.924001465E0,-8.459059296E0,1.478325806E0
1.931894000E0,7.017856293E0,-7.390730896E0,1.719474335E0
1.941891875E0,7.363038483E0,-6.342460785E0,1.975142670E0
1.951888875E0,7.942483521E0,-5.579347687E0,2.141895905E0
1.961885875E0,8.631201324E0,-5.242548065E0,2.131567383E0
1.971882875E0,9.285490723E0,-5.289999390E0,1.943558350E0
1.981879875E0,9.773326263E0,-5.473966827E0,1.545835419E0
1.991876875E0,9.981393585E0,-5.689967651E0,1.102756805E0
2.001873875E0,9.949809265E0,-5.915997620E0,6.801855469E-1
2.011870875E0,9.865833893E0,-6.070177002E0,2.859054565E-1
2.021868875E0,9.774673462E0,-6.181395721E0,1.077758789E-2
2.031865875E0,9.805808716E0,-6.341712341E0,-1.513352966E-1
2.041862875E0,9.881700897E0,-6.549929352E0,-1.832189941E-1
2.051859875E0,9.910291443E0,-6.757248230E0,-1.877096558E-1
2.061856875E0,9.787696381E0,-6.906787262E0,-1.808239746E-1
2.071853875E0,9.335486755E0,-7.018455048E0,-3.802093506E-2
2.081850875E0,8.527167664E0,-7.013215942E0,4.834945679E-2
2.091847875E0,7.651937714E0,-6.869664459E0,1.552272034E-1
2.101844875E0,7.002737732E0,-6.639592896E0,3.829037476E-1
2.111841875E0,6.617139587E0,-6.370901642E0,6.765930176E-1
2.121838875E0,6.538103943E0,-6.008654938E0,9.111552429E-1
2.131835875E0,6.586004333E0,-5.684578857E0,1.094523926E0
2.141832875E0,6.718478851E0,-5.407355347E0,1.113983459E0
2.151830875E0,6.998247070E0,-5.220693512E0,9.990225220E-1
2.161827875E0,7.237749023E0,-5.124892731E0,8.842112732E-1
2.171824875E0,7.332501984E0,-5.052892456E0,7.334747314E-1
2.181821875E0,7.468419342E0,-5.125491486E0,6.262976074E-1
2.191818875E0,7.535030823E0,-5.271138611E0,6.007008362E-1
2.201815875E0,7.680528259E0,-5.477709045E0,6.072871399E-1
2.211812875E0,7.971822510E0,-5.772296448E0,7.107220459E-1
2.221809875E0,8.229287109E0,-5.964646454E0,8.803193665E-1
2.231806875E0,8.475375366E0,-6.026318207E0,1.015338593E0
2.241803875E0,8.786278839E0,-6.096372528E0,1.022673340E0
2.251800875E0,9.117989044E0,-6.231092377E0,9.692344666E-1
2.261797875E0,9.484127655E0,-6.382277985E0,8.893006897E-1
2.271795875E0,9.930798798E0,-6.505920868E0,8.211923218E-1
2.281792875E0,1.039124130E1,-6.597829742E0,7.994874573E-1
2.291789875E0,1.087069427E1,-6.620732117E0,8.521778870E-1
2.301786875E0,1.139385635E1,-6.609655151E0,9.767189026E-1
2.311783875E0,1.189995392E1,-6.643484802E0,1.128652954E0
2.321780875E0,1.231519043E1,-6.661746826E0,1.243763580E0
2.331777875E0,1.265423538E1,-6.604266357E0,1.381477203E0
2.341774875E0,1.305061111E1,-6.502627716E0,1.664688263E0
2.351771875E0,1.361957794E1,-6.316265259E0,1.989063721E0
2.361768875E0,1.416519333E1,-6.109694824E0,2.208956451E0
