"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.772301250E-1,-1.074000491E-1,-3.256108575E0,-7.220457637E-1
7.872281250E-1,-2.184620632E-1,-2.615972655E0,-1.045718386E0
7.972251250E-1,1.177257934E-1,-1.673060014E0,-2.010774432E0
8.072221250E-1,8.161321414E-1,-1.773255855E0,-3.315774733E0
8.172191250E-1,1.228411423E0,-2.418322147E0,-3.923699219E0
8.272161250E-1,1.439290086E0,-2.680860961E0,-3.503445797E0
8.372131250E-1,1.639721237E0,-2.490929655E0,-2.593244820E0
8.472101250E-1,1.457270274E0,-2.011250103E0,-1.741132421E0
8.572071250E-1,7.634113061E-1,-1.969830767E0,-8.202526742E-1
8.672041250E-1,-2.716809350E-1,-2.143388699E0,-1.457324946E-1
8.772011250E-1,-1.791703820E-1,-2.737899965E0,2.532627904E-1
8.871981250E-1,1.255578464E-1,-3.495409968E0,8.752153319E-1
8.971961250E-1,5.303705263E-1,-4.046686337E0,1.199038228E0
9.071931250E-1,1.066502899E0,-4.106242568E0,9.957246923E-1
9.171901250E-1,4.047156161E-1,-4.163949616E0,5.625319666E-1
9.271871250E-1,-1.382032689E0,-4.577649187E0,5.431566328E-2
9.371840000E-1,-1.946571420E0,-5.690214404E0,-6.031133974E-1
9.471810000E-1,-1.950075656E0,-6.202419385E0,-1.405924120E0
9.571780000E-1,-2.250082843E0,-5.993217704E0,-2.342128834E0
9.671750000E-1,-2.545942014E0,-6.180698733E0,-3.257956587E0
9.771720000E-1,-2.854554548E0,-6.752388024E0,-3.991794723E0
9.871690000E-1,-3.099120775E0,-7.246731516E0,-4.417090784E0
9.971660000E-1,-3.284635971E0,-7.597469730E0,-4.411257602E0
1.007164000E0,-3.367586911E0,-7.799151308E0,-4.490835283E0
1.017161000E0,-3.475944588E0,-8.143621892E0,-4.391389933E0
1.027158000E0,-3.838690644E0,-8.531569448E0,-3.931092439E0
1.037155000E0,-3.875246851E0,-8.551978569E0,-3.421323992E0
1.047152000E0,-3.568301359E0,-8.508268878E0,-2.924034673E0
1.057149000E0,-2.162299764E0,-8.173556712E0,-2.336389500E0
1.067146000E0,5.062636256E-2,-7.184400197E0,-1.933735027E0
1.077143000E0,1.383141321E0,-6.325858201E0,-1.568800943E0
1.087140000E0,1.938265450E0,-5.955071054E0,-1.017462301E0
1.097137000E0,2.147617405E0,-5.735793450E0,-2.931349357E-1
1.107134000E0,2.360041487E0,-5.446770258E0,3.452967954E-1
1.117131000E0,2.747021914E0,-5.209521822E0,9.441007948E-1
1.127129000E0,3.956344224E0,-4.756247126E0,1.523879124E0
1.137126000E0,5.498409943E0,-3.898519939E0,2.214314840E0
1.147123000E0,6.565260751E0,-2.829459176E0,2.777283593E0
1.157120000E0,7.012990240E0,-1.921305893E0,3.110373741E0
1.167117000E0,6.793351863E0,-1.369099817E0,3.192179797E0
1.177114000E0,6.179396558E0,-1.082647354E0,3.324506965E0
1.187111000E0,5.558669593E0,-1.120156073E0,3.649843705E0
1.197108000E0,5.263009812E0,-1.369905271E0,4.335475348E0
1.207105000E0,5.361646492E0,-1.372715151E0,5.179766511E0
1.217102000E0,5.774431851E0,-6.976248676E-1,5.953744905E0
1.227099000E0,6.679777300E0,4.557568386E-1,6.559345708E0
1.237096000E0,7.731349334E0,1.861282178E0,6.855371525E0
1.247094000E0,8.721917952E0,3.189841788E0,6.754293047E0
1.257091000E0,9.191419548E0,4.168398178E0,6.263171371E0
1.267088000E0,9.139579303E0,4.778059872E0,5.761770290E0
1.277085000E0,8.644734120E0,5.046390352E0,5.420615662E0
1.287082000E0,7.959339289E0,4.877316357E0,5.335495405E0
1.297079000E0,7.552054406E0,4.487812858E0,5.455000799E0
1.307076000E0,7.312571749E0,4.144746775E0,5.550347836E0
1.317073000E0,7.499069277E0,3.987436793E0,5.773553599E0
1.327070000E0,8.015108278E0,4.006658345E0,6.362498024E0
1.337067000E0,8.126150411E0,4.308454195E0,6.717489502E0
1.347064000E0,7.795510831E0,4.367673626E0,6.632617167E0
1.357061000E0,7.292317579E0,4.158643852E0,6.329221519E0
1.367059000E0,6.948703027E0,4.039740137E0,6.027647864E0
1.377056000E0,6.939993600E0,4.192742475E0,5.890624212E0
1.387053000E0,7.010508682E0,4.780798123E0,6.091210606E0
1.397050000E0,6.787824490E0,5.540358453E0,6.187325968E0
1.407047000E0,6.599938833E0,6.199934319E0,5.981598701E0
1.417044000E0,6.698019444E0,6.641485639E0,5.676202136E0
1.427041000E0,7.085868766E0,6.555176058E0,5.277686323E0
1.437038000E0,7.185118820E0,6.195875766E0,4.758596245E0
1.447035000E0,6.878689052E0,5.737693795E0,4.357869015E0
1.457032000E0,6.256298554E0,5.238775442E0,4.205916252E0
1.467029000E0,5.512287725E0,4.756425759E0,4.157576151E0
1.477027000E0,4.676020696E0,4.198768616E0,4.013116010E0
1.487024000E0,4.031438261E0,3.595287428E0,3.829785919E0
1.497021000E0,3.739167525E0,2.855749719E0,3.553170519E0
1.507018000E0,3.863882788E0,2.065251186E0,3.286148061E0
1.517015000E0,4.114464630E0,1.475864128E0,3.144716778E0
1.527012000E0,4.146731905E0,1.014307728E0,2.989512963E0
1.537009000E0,3.997380568E0,6.596963185E-1,2.706694252E0
1.547006000E0,3.962412465E0,3.066268194E-1,2.342216835E0
1.557003000E0,3.988985136E0,-6.246638954E-2,1.952311047E0
1.567000000E0,3.688675064E0,-2.670823923E-1,1.463112520E0
1.576997000E0,3.292760092E0,-3.139510417E-1,9.757978930E-1
1.586994000E0,2.880125007E0,-3.695726806E-1,5.285918033E-1
1.596992000E0,2.494092414E0,-4.915090540E-1,2.088854203E-1
1.606989000E0,1.986313190E0,-6.762559256E-1,3.143697023E-2
1.616986000E0,1.594084888E0,-8.695344695E-1,-6.920881391E-2
1.626983000E0,1.271669417E0,-1.172759671E0,-1.182839102E-1
1.636980000E0,1.017555272E0,-1.523517766E0,-1.810023878E-1
1.646977000E0,6.464202154E-1,-1.969263879E0,-2.348218417E-1
1.656974000E0,2.399153513E-1,-2.448123651E0,-3.206529741E-1
1.666971000E0,-1.434304458E-1,-3.025142387E0,-3.808876276E-1
1.676968000E0,-5.460030574E-1,-3.583355600E0,-3.653902403E-1
1.686965000E0,-8.236101454E-1,-4.066054362E0,-2.924455673E-1
1.696962000E0,-1.047662001E0,-4.430339990E0,-1.799480617E-1
1.706959000E0,-1.227999487E0,-4.771364518E0,-1.072607392E-1
1.716957000E0,-1.332199793E0,-5.102983214E0,-9.227958798E-2
1.726954000E0,-1.538643928E0,-5.379340167E0,-1.477836978E-1
1.736951000E0,-1.755368637E0,-5.628543820E0,-2.092216352E-1
1.746948000E0,-1.906182947E0,-5.981343178E0,-2.291371787E-1
1.756945000E0,-2.273640690E0,-6.316589779E0,-2.760252701E-1
1.766942000E0,-2.621430738E0,-6.580783939E0,-3.292298893E-1
1.776939000E0,-2.871677535E0,-7.007579811E0,-3.803561888E-1
1.786936000E0,-3.138560244E0,-7.523939824E0,-4.661061180E-1
1.796933000E0,-3.469759988E0,-8.026377617E0,-6.969651555E-1
1.806930000E0,-3.637210795E0,-8.497766109E0,-1.007782820E0
1.816927000E0,-3.813435935E0,-8.870736022E0,-1.209773570E0
1.826924000E0,-4.111238721E0,-9.148594540E0,-1.453712536E0
1.836922000E0,-4.260402946E0,-9.294098409E0,-1.662465882E0
1.846919000E0,-4.299607943E0,-9.341225798E0,-1.870189826E0
1.856916000E0,-4.100116147E0,-9.512537522E0,-1.961217087E0
