"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.772301250E-1,5.062209964E-1,-4.952557564E0,-6.430751085E-1
7.872281250E-1,-1.129761115E-1,-4.422768116E0,-4.510773420E-1
7.972251250E-1,-6.912101507E-1,-4.292927742E0,-3.152393699E-1
8.072221250E-1,-1.357912898E0,-4.383911133E0,-1.626441330E-1
8.172191250E-1,-1.894625425E0,-4.505503654E0,-2.383830398E-2
8.272161250E-1,-2.159733057E0,-4.600402355E0,4.001357779E-2
8.372131250E-1,-2.218412876E0,-4.861775875E0,5.735102296E-2
8.472101250E-1,-2.109558582E0,-5.239990234E0,2.017229199E-1
8.572071250E-1,-1.852121830E0,-5.496975899E0,4.996747077E-1
8.672041250E-1,-1.501389503E0,-5.770050526E0,8.159892559E-1
8.772011250E-1,-1.025380850E0,-6.039865494E0,1.036300540E0
8.871981250E-1,-4.267332852E-1,-6.242412090E0,1.145668745E0
8.971961250E-1,2.031447738E-1,-6.360506535E0,1.098065495E0
9.071931250E-1,8.094500899E-1,-6.315510273E0,1.026210308E0
9.171901250E-1,1.334780216E0,-6.167751312E0,1.178286910E0
9.271871250E-1,1.726603627E0,-5.899120808E0,1.435479045E0
9.371840000E-1,1.989405990E0,-5.564896584E0,1.576345086E0
9.471810000E-1,2.153915405E0,-5.266953468E0,1.685297489E0
9.571780000E-1,2.201233864E0,-5.089359283E0,1.799757004E0
9.671750000E-1,2.110818148E0,-4.880764961E0,1.932100654E0
9.771720000E-1,1.892968178E0,-4.565820217E0,2.087568760E0
9.871690000E-1,1.601007462E0,-4.217032433E0,2.263490438E0
9.971660000E-1,1.242425680E0,-3.870168209E0,2.456442356E0
1.007164000E0,8.319592476E-1,-3.501994371E0,2.715128422E0
1.017161000E0,4.040580392E-1,-3.061451197E0,3.077816248E0
1.027158000E0,-2.645927854E-2,-2.593156338E0,3.470978975E0
1.037155000E0,-4.545016885E-1,-2.100325346E0,3.850239992E0
1.047152000E0,-8.724316955E-1,-1.523294210E0,4.106686115E0
1.057149000E0,-1.301264286E0,-9.103873372E-1,4.110738277E0
1.067146000E0,-1.730220556E0,-3.866952658E-1,3.968094826E0
1.077143000E0,-2.099913836E0,2.917331085E-2,3.833297253E0
1.087140000E0,-2.386745691E0,3.666955829E-1,3.773709297E0
1.097137000E0,-2.588626385E0,6.134043932E-1,3.771663189E0
1.107134000E0,-2.724161625E0,7.551638484E-1,3.823783159E0
1.117131000E0,-2.805878162E0,7.316318750E-1,3.843586922E0
1.127129000E0,-2.812366247E0,5.862362385E-1,3.764065027E0
1.137126000E0,-2.765590906E0,3.957277834E-1,3.582174063E0
1.147123000E0,-2.728069782E0,1.674109995E-1,3.326971054E0
1.157120000E0,-2.754564524E0,-1.008218713E-2,3.064671755E0
1.167117000E0,-2.828842878E0,-1.074862629E-1,2.841843843E0
1.177114000E0,-2.911927700E0,-8.977677673E-2,2.689398766E0
1.187111000E0,-2.937488794E0,6.754593551E-2,2.627702713E0
1.197108000E0,-2.900741816E0,3.406099677E-1,2.627163172E0
1.207105000E0,-2.775416851E0,6.200103760E-1,2.647734404E0
1.217102000E0,-2.556635618E0,8.004624844E-1,2.615756512E0
1.227099000E0,-2.299141884E0,8.606892824E-1,2.500049829E0
1.237096000E0,-2.065334558E0,8.488419056E-1,2.270226717E0
1.247094000E0,-1.932627201E0,7.886888981E-1,1.966514826E0
1.257091000E0,-1.901298881E0,7.221751213E-1,1.649089456E0
1.267088000E0,-1.938646317E0,6.866828799E-1,1.383993268E0
1.277085000E0,-2.011544704E0,7.313424945E-1,1.213257790E0
1.287082000E0,-2.076499462E0,8.972029090E-1,1.114967465E0
1.297079000E0,-2.110864162E0,1.121962786E0,1.040214419E0
1.307076000E0,-2.057818651E0,1.260760188E0,9.497567415E-1
1.317073000E0,-1.867975116E0,1.295822263E0,8.000793457E-1
1.327070000E0,-1.566720843E0,1.237190962E0,6.217038631E-1
1.337067000E0,-1.234102607E0,1.056585431E0,4.960156679E-1
1.347064000E0,-9.385277033E-1,8.302578330E-1,4.568192661E-1
1.357061000E0,-6.940780282E-1,6.258729696E-1,4.684511423E-1
1.367059000E0,-4.600059688E-1,4.660242498E-1,4.884155691E-1
1.377056000E0,-1.688366979E-1,3.582005799E-1,4.934923351E-1
1.387053000E0,1.632906348E-1,2.687564790E-1,4.998248518E-1
1.397050000E0,4.822782278E-1,1.622824967E-1,4.705676138E-1
1.407047000E0,7.712663412E-1,3.963724151E-2,3.656015098E-1
1.417044000E0,9.908402562E-1,-5.358591303E-2,1.756539494E-1
1.427041000E0,1.106144667E0,-8.498205990E-2,-7.308705151E-2
