"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.908570323E1,4.736422240E1,8.510727264E0,4.380107407E2,1.129530405E0,2.824647686E2,8.014974565E0,3.924721240E0
5.008570847E1,4.736422270E1,8.510699917E0,4.375823892E2,1.308791270E0,2.959830711E2,7.854449864E0,3.914329519E0
5.108571229E1,4.736421404E1,8.510677645E0,4.379717409E2,1.397975923E0,2.953057893E2,7.854449854E0,3.925459762E0
5.208571730E1,4.736420628E1,8.510657669E0,4.381700648E2,1.164796258E0,2.810005670E2,7.987869020E0,4.144723739E0
5.308572135E1,4.736420768E1,8.510650369E0,4.381015387E2,1.034968130E0,3.023489198E2,7.903633901E0,4.218407262E0
5.408572600E1,4.736419853E1,8.510645502E0,4.389349964E2,6.401337342E-1,3.045834246E2,7.870053972E0,4.135906668E0
5.508573089E1,4.736419537E1,8.510635092E0,4.394730902E2,7.466003401E-1,3.023662007E2,7.853941940E0,4.025210668E0
5.608573494E1,4.736419395E1,8.510613654E0,4.396090830E2,1.155017357E0,2.950031433E2,7.853941961E0,3.870349389E0
5.708573983E1,4.736418630E1,8.510581071E0,4.393456220E2,1.310751454E0,2.777161767E2,7.853941987E0,4.010563729E0
5.808574507E1,4.736419018E1,8.510567399E0,4.397464114E2,1.267215812E0,2.847001884E2,7.793985297E0,3.836389322E0
5.908575008E1,4.736419577E1,8.510524231E0,4.394062335E2,1.924652591E0,2.864498423E2,7.795323618E0,3.645488453E0
6.008575401E1,4.736419810E1,8.510511659E0,4.392319397E2,1.494659440E0,2.956403694E2,7.798468399E0,3.847599387E0
6.108575890E1,4.736420317E1,8.510503705E0,4.394871816E2,1.358652592E0,2.999363017E2,7.819964936E0,3.651549616E0
6.208576426E1,4.736421163E1,8.510494455E0,4.396362636E2,1.245813460E0,3.042108638E2,7.951502318E0,3.658834987E0
6.308577094E1,4.736421957E1,8.510475314E0,4.396378395E2,1.240712142E0,3.003493993E2,7.996948848E0,3.647061035E0
6.408577309E1,4.736423732E1,8.510474282E0,4.398610956E2,1.392986943E0,3.146056702E2,7.971943390E0,3.691809042E0
6.508577845E1,4.736423872E1,8.510458274E0,4.402460801E2,1.390626651E0,2.940251860E2,7.906169215E0,3.825020662E0
6.608578262E1,4.736424397E1,8.510451628E0,4.416043118E2,1.089901685E0,2.864046702E2,7.905627318E0,3.813338838E0
6.708578787E1,4.736424207E1,8.510433530E0,4.414315499E2,1.299050691E0,2.767924314E2,7.783106398E0,3.729410966E0
6.808579252E1,4.736424280E1,8.510423365E0,4.417334175E2,1.505759015E0,2.784027589E2,7.717219853E0,3.591942251E0
6.908579657E1,4.736424514E1,8.510434558E0,4.416360021E2,7.413412196E-1,2.820840235E2,7.678152930E0,3.486797056E0
7.008580253E1,4.736425013E1,8.510417695E0,4.411433660E2,1.084930042E0,2.839681417E2,7.701292326E0,3.424653521E0
7.108580646E1,4.736426274E1,8.510395837E0,4.411591183E2,1.572836562E0,2.896934762E2,7.766829524E0,3.333224087E0
7.208581159E1,4.736425104E1,8.510374332E0,4.417133003E2,1.471852742E0,2.707123268E2,7.766829530E0,3.554392994E0
7.308581588E1,4.736425712E1,8.510358821E0,4.417072141E2,1.352231515E0,2.804397236E2,7.854730665E0,3.517297006E0
7.408582148E1,4.736426800E1,8.510349260E0,4.410215237E2,1.230068202E0,2.888268148E2,7.848629811E0,3.415490725E0
7.508582625E1,4.736427733E1,8.510332265E0,4.404670318E2,1.250340834E0,2.915855042E2,7.914563847E0,3.482166562E0
7.608583138E1,4.736429319E1,8.510314725E0,4.399790153E2,1.595006470E0,2.923556812E2,7.898925794E0,3.627507100E0
7.708583507E1,4.736430030E1,8.510304022E0,4.411909574E2,1.492745783E0,2.909425230E2,7.759217135E0,3.633423047E0
7.808584115E1,4.736431123E1,8.510288091E0,4.404706715E2,1.520368600E0,2.901301264E2,7.590211595E0,3.555938194E0
7.908584592E1,4.736432401E1,8.510278335E0,4.405839212E2,1.492613741E0,2.906860832E2,7.845724721E0,3.692019881E0
8.008584974E1,4.736432911E1,8.510263096E0,4.408282412E2,1.433681142E0,2.851112387E2,7.737172942E0,3.763302195E0
8.108585510E1,4.736434038E1,8.510246002E0,4.407658976E2,1.431971973E0,2.864850653E2,7.615505312E0,3.737517644E0
8.208586059E1,4.736435259E1,8.510228550E0,4.404557805E2,1.470755357E0,2.976439486E2,7.539914198E0,3.785239531E0
8.308586571E1,4.736435153E1,8.510213884E0,4.409330205E2,1.079627826E0,2.904620813E2,7.347597542E0,3.638605910E0
8.408586953E1,4.736436920E1,8.510192747E0,4.405125177E2,1.501179981E0,3.003510913E2,7.470334971E0,3.672104160E0
8.508587418E1,4.736437375E1,8.510172888E0,4.403808365E2,1.435474063E0,2.999068763E2,7.378013811E0,3.678532032E0
8.608587990E1,4.736437392E1,8.510151890E0,4.396026664E2,1.435526313E0,2.994208524E2,7.344962330E0,3.759513695E0
8.708588479E1,4.736437165E1,8.510132106E0,4.398745711E2,1.385958680E0,2.922641068E2,7.237198950E0,3.699382954E0
8.808588979E1,4.736438387E1,8.510116433E0,4.401302334E2,1.568936108E0,3.030706773E2,7.209435187E0,3.613199912E0
8.908589492E1,4.736438049E1,8.510093958E0,4.400382883E2,1.486785748E0,2.926482707E2,7.270566268E0,3.636986434E0
9.008589957E1,4.736437196E1,8.510069727E0,4.397967021E2,1.344289154E0,2.795648351E2,7.279424930E0,3.581607521E0
9.108590386E1,4.736437269E1,8.510047562E0,4.395444443E2,1.328284683E0,2.852684107E2,7.287318901E0,3.728787879E0
9.208590863E1,4.736439327E1,8.509987656E0,4.403244363E2,2.922267979E0,2.901675638E2,7.294361453E0,3.886590390E0
9.308591399E1,4.736440135E1,8.510000626E0,4.404133131E2,1.427500485E0,3.004422199E2,7.341282243E0,4.041672739E0
9.408465395E1,4.736440159E1,8.509982719E0,4.398623228E2,1.103149345E0,2.903670880E2,7.213513186E0,4.235138743E0
9.508465562E1,4.736440463E1,8.509962600E0,4.396757535E2,1.347098185E0,2.873716268E2,7.096255623E0,4.327739332E0
9.608466647E1,4.736440821E1,8.509949463E0,4.400629335E2,1.437205786E0,2.876869767E2,6.929246403E0,4.807719468E0
9.708466289E1,4.736441269E1,8.509930752E0,4.404406406E2,1.611635188E0,2.852885132E2,7.295081841E0,5.133325499E0
9.808467529E1,4.736442236E1,8.509912892E0,4.400888648E2,1.670579160E0,2.852885132E2,7.642625462E0,4.870240236E0
9.908468864E1,4.736443420E1,8.509889926E0,4.404344874E2,2.046631637E0,2.852885132E2,7.972791951E0,5.198670299E0
1.000846795E2,4.736444025E1,8.509874807E0,4.404318803E2,1.845761517E0,2.852885132E2,8.286450092E0,5.562429007E0
1.010846830E2,4.736443963E1,8.509858913E0,4.402384836E2,1.538854620E0,2.852885132E2,8.584425349E0,5.796291788E0
1.020846961E2,4.736444362E1,8.509841316E0,4.403533926E2,1.509818382E0,2.852885132E2,8.867501805E0,6.085581388E0
1.030846966E2,4.736444587E1,8.509824222E0,4.398496060E2,1.631403896E0,2.852885132E2,9.136424457E0,6.592967341E0
1.040847004E2,4.736444829E1,8.509809856E0,4.400677059E2,1.521922083E0,2.852885132E2,9.391900949E0,7.252108674E0
1.050847143E2,4.736444916E1,8.509794544E0,4.399982650E2,1.282908914E0,2.852885132E2,9.634603602E0,7.966027554E0
1.060847169E2,4.736444939E1,8.509776853E0,4.392861953E2,1.161515642E0,2.852885132E2,9.865171190E0,8.808262290E0
1.070847187E2,4.736445208E1,8.509762365E0,4.398206786E2,1.123180753E0,2.852885132E2,1.008421041E1,9.353931967E0
1.080847344E2,4.736445252E1,8.509760009E0,4.402424693E2,7.634950641E-1,2.852885132E2,1.029229757E1,9.499101986E0
1.090847482E2,4.736445638E1,8.509739239E0,4.400082956E2,1.145012513E0,2.852885132E2,1.048998046E1,9.795924210E0
1.100847623E2,4.736446082E1,8.509715334E0,4.400523792E2,1.679114501E0,2.852885132E2,1.067777924E1,9.619179148E0
1.110847748E2,4.736446536E1,8.509690866E0,4.401008138E2,1.963199367E0,2.852885132E2,1.085618801E1,9.706595331E0
1.120847883E2,4.736446882E1,8.509672253E0,4.403664474E2,1.978612989E0,2.852885132E2,1.102567635E1,9.141071961E0
1.130848003E2,4.736447384E1,8.509645185E0,4.402498049E2,2.184441210E0,2.852885132E2,1.118669029E1,8.816717272E0
1.140848115E2,4.736448174E1,8.509602675E0,4.401285850E2,2.965068427E0,2.852885132E2,1.133965351E1,8.798281170E0
1.150848238E2,4.736447937E1,8.509615451E0,4.408921929E2,1.439388818E0,2.852885132E2,1.148496846E1,9.429945298E0
1.160848350E2,4.736448118E1,8.509605694E0,4.413371833E2,1.097266831E0,2.852885132E2,1.162301775E1,9.621669717E0
1.170848459E2,4.736448493E1,8.509585484E0,4.412178686E2,1.225600451E0,2.852885132E2,1.175416462E1,9.827640519E0
1.180848562E2,4.736448953E1,8.509560721E0,4.412452975E2,1.605528469E0,2.852885132E2,1.187875414E1,9.841743489E0
1.190848658E2,4.736449065E1,8.509554679E0,4.415035907E2,1.117816957E0,2.852885132E2,1.199711419E1,1.028147318E1
1.200848764E2,4.736449414E1,8.509535906E0,4.411164974E2,1.260012457E0,2.852885132E2,1.210955624E1,1.051141967E1
1.210848859E2,4.736449805E1,8.509514873E0,4.405123782E2,1.488923973E0,2.852885132E2,1.221637621E1,1.083625223E1
