"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.171901250E-1,-1.955795288E1,-1.442470551E1,-3.975025558E1
9.271871250E-1,-2.187057495E1,-1.476250839E1,-3.858435440E1
9.371840000E-1,-2.428163147E1,-1.502697754E1,-3.687861633E1
9.471810000E-1,-2.646798706E1,-1.526995850E1,-3.510720825E1
9.571780000E-1,-2.880978394E1,-1.555554962E1,-3.308049774E1
9.671750000E-1,-3.054545593E1,-1.563500977E1,-3.139823151E1
9.771720000E-1,-3.244952393E1,-1.559314728E1,-2.964727783E1
9.871690000E-1,-3.396231079E1,-1.553167725E1,-2.806350708E1
9.971660000E-1,-3.551835632E1,-1.499912643E1,-2.638895416E1
1.007164000E0,-3.676742554E1,-1.442497635E1,-2.497075653E1
1.017161000E0,-3.803797913E1,-1.340614319E1,-2.335720444E1
1.027158000E0,-3.902201843E1,-1.234371948E1,-2.203087997E1
1.037155000E0,-4.017715454E1,-1.099916840E1,-2.123049545E1
1.047152000E0,-4.079823303E1,-9.441699982E0,-2.075848770E1
1.057149000E0,-4.151139832E1,-7.442329407E0,-2.016257095E1
1.067146000E0,-4.196572876E1,-5.464710236E0,-1.985288620E1
1.077143000E0,-4.241148376E1,-3.381917953E0,-1.954509735E1
1.087140000E0,-4.239013672E1,-1.453809738E0,-1.998357391E1
1.097137000E0,-4.238867188E1,7.027072906E-1,-2.015884399E1
1.107134000E0,-4.206704712E1,2.825496674E0,-2.053627777E1
1.117131000E0,-4.172804260E1,5.041160583E0,-2.062251663E1
1.127129000E0,-4.142364502E1,7.095380783E0,-2.051946640E1
1.137126000E0,-4.118710327E1,9.239002228E0,-2.035981369E1
1.147123000E0,-4.047085571E1,1.119872093E1,-2.067594528E1
1.157120000E0,-4.022181702E1,1.309730625E1,-2.035155487E1
1.167117000E0,-3.962956238E1,1.486926270E1,-2.008065796E1
1.177114000E0,-3.943013000E1,1.662024307E1,-1.951153946E1
1.187111000E0,-3.891259766E1,1.826648140E1,-1.896461105E1
1.197108000E0,-3.848728943E1,1.991921616E1,-1.811550903E1
1.207105000E0,-3.765055847E1,2.143134308E1,-1.768309784E1
1.217102000E0,-3.708184814E1,2.290213203E1,-1.714223862E1
1.227099000E0,-3.617114258E1,2.423230743E1,-1.731720352E1
1.237096000E0,-3.545805359E1,2.558256531E1,-1.671202087E1
1.247094000E0,-3.486256409E1,2.664126587E1,-1.646916962E1
1.257091000E0,-3.428669739E1,2.763596153E1,-1.599921036E1
1.267088000E0,-3.355230713E1,2.863026619E1,-1.608216095E1
1.277085000E0,-3.300148010E1,2.947679138E1,-1.602561951E1
1.287082000E0,-3.235978699E1,3.014577293E1,-1.607668686E1
1.297079000E0,-3.196557617E1,3.083601379E1,-1.528660583E1
1.307076000E0,-3.136447144E1,3.142626762E1,-1.495114517E1
1.317073000E0,-3.115249634E1,3.205110931E1,-1.439722443E1
1.327070000E0,-3.047656250E1,3.264620972E1,-1.430256271E1
1.337067000E0,-3.029800415E1,3.306868362E1,-1.417680359E1
1.347064000E0,-2.968945312E1,3.332825470E1,-1.446346664E1
1.357061000E0,-2.962695312E1,3.358846283E1,-1.396272278E1
1.367059000E0,-2.911071777E1,3.389805984E1,-1.409582520E1
1.377056000E0,-2.914982605E1,3.422477722E1,-1.399672318E1
1.387053000E0,-2.897007751E1,3.434206009E1,-1.416335678E1
1.397050000E0,-2.878875732E1,3.454303360E1,-1.421533203E1
1.407047000E0,-2.864006042E1,3.444854355E1,-1.473375702E1
1.417044000E0,-2.847340393E1,3.446770096E1,-1.473974609E1
1.427041000E0,-2.847419739E1,3.417309570E1,-1.521091461E1
1.437038000E0,-2.886752319E1,3.397850800E1,-1.541985321E1
1.447035000E0,-2.877609253E1,3.380542755E1,-1.596059418E1
1.457032000E0,-2.901963806E1,3.355701065E1,-1.622465897E1
1.467029000E0,-2.911109924E1,3.299774170E1,-1.684331894E1
1.477027000E0,-2.947618103E1,3.249681854E1,-1.729302597E1
1.487024000E0,-2.951797485E1,3.206738281E1,-1.791941833E1
1.497021000E0,-3.016630554E1,3.151054764E1,-1.809722900E1
1.507018000E0,-3.026428223E1,3.085365295E1,-1.877775574E1
1.517015000E0,-3.068072510E1,3.033248711E1,-1.939205551E1
1.527012000E0,-3.101419067E1,2.927782059E1,-2.026990128E1
1.537009000E0,-3.156723022E1,2.858521080E1,-2.066616821E1
1.547006000E0,-3.190112305E1,2.757489204E1,-2.136577606E1
1.557003000E0,-3.258065796E1,2.666469574E1,-2.138468933E1
1.567000000E0,-3.289250183E1,2.557165337E1,-2.241220093E1
1.576997000E0,-3.360494995E1,2.444676971E1,-2.274697876E1
1.586994000E0,-3.368847656E1,2.307896042E1,-2.334355164E1
1.596992000E0,-3.440014648E1,2.195710754E1,-2.372290802E1
1.606989000E0,-3.479943848E1,2.050350380E1,-2.417701721E1
1.616986000E0,-3.556190491E1,1.932553864E1,-2.426238251E1
1.626983000E0,-3.601856995E1,1.780459595E1,-2.464860535E1
1.636980000E0,-3.670599365E1,1.665924644E1,-2.478954315E1
1.646977000E0,-3.704957581E1,1.510809135E1,-2.542459106E1
1.656974000E0,-3.776113892E1,1.375978947E1,-2.526245499E1
1.666971000E0,-3.803092957E1,1.222895050E1,-2.529639816E1
