"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748958025967171E9,"2025-06-03 15:40:25.967 UTC+02:00"
"PAUSE",4.260615662499986E2,1.748958452033394E9,"2025-06-03 15:47:32.033 UTC+02:00"
"START",4.260615662499986E2,1.748958713598680E9,"2025-06-03 15:51:53.599 UTC+02:00"
"PAUSE",5.731717075833367E2,1.748958860709230E9,"2025-06-03 15:54:20.709 UTC+02:00"
