"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.843766156E1,4.736398872E1,8.512679681E0,4.291127355E2,3.799167808E0,2.862239138E2,2.018468046E1,1.075921700E1
4.943768504E1,4.736402711E1,8.512621665E0,4.351007556E2,4.572306883E0,3.078419612E2,1.942601746E1,1.067697854E1
5.043770817E1,4.736404292E1,8.512538677E0,4.321043624E2,5.360710164E0,3.030587376E2,1.874476697E1,1.074249743E1
5.143773213E1,4.736405750E1,8.512446966E0,4.333274303E2,5.944228003E0,2.999106700E2,1.730135315E1,9.472659078E0
5.243775466E1,4.736407036E1,8.512395543E0,4.353984084E2,5.086873647E0,3.002033442E2,1.626113221E1,9.079000022E0
5.343777767E1,4.736404903E1,8.512368944E0,4.343258117E2,3.457368770E0,2.867415911E2,1.534864627E1,8.713798534E0
5.443780198E1,4.736407240E1,8.512281175E0,4.352445570E2,4.595870270E0,2.898943857E2,1.455372407E1,8.590608025E0
5.543782523E1,4.736406736E1,8.512217399E0,4.369280662E2,4.533375039E0,2.811697192E2,1.372002733E1,8.276262631E0
5.643784812E1,4.736406743E1,8.512175728E0,4.370885564E2,3.708362408E0,2.870201372E2,1.321866689E1,8.323732828E0
5.743787172E1,4.736408102E1,8.512084209E0,4.392956196E2,4.982151908E0,2.835827907E2,1.275785401E1,7.806572986E0
5.843789532E1,4.736410857E1,8.512047172E0,4.360762752E2,4.324778671E0,2.985810074E2,1.221710479E1,7.369275122E0
5.936113674E1,4.736415165E1,8.512081656E0,4.342638030E2,5.419978976E-1,1.698556807E2,2.081169682E1,1.268901697E1
6.036115951E1,4.736413619E1,8.512108250E0,4.342863543E2,1.702524563E0,1.287716098E2,2.037956619E1,1.190220871E1
6.136118275E1,4.736414922E1,8.512143767E0,4.375881415E2,1.903468128E0,8.667268807E1,1.996920262E1,1.248892081E1
6.236120493E1,4.736413130E1,8.512190505E0,4.367885130E2,2.337342227E0,1.063092926E2,1.994085124E1,1.300689338E1
6.336122889E1,4.736409136E1,8.512238393E0,4.371083716E2,3.673506087E0,1.321017562E2,1.950520996E1,1.262339748E1
6.436125178E1,4.736404558E1,8.512325564E0,4.367530762E2,5.890866942E0,1.351167883E2,1.912594036E1,1.261884382E1
6.536127407E1,4.736403883E1,8.512401694E0,4.348837761E2,6.166687817E0,1.266760595E2,1.864222155E1,1.227922629E1
6.636129791E1,4.736403179E1,8.512431540E0,4.343806643E2,4.984018254E0,1.294905939E2,1.822279464E1,1.230477460E1
6.736132008E1,4.736402839E1,8.512518747E0,4.355884336E2,5.582802010E0,1.192403125E2,1.758311934E1,1.152477656E1
