"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.076666667E-1,4.962402344E0,-3.239855957E1,-2.085849762E1
9.176646667E-1,8.488677979E0,-3.289659882E1,-1.919161224E1
9.276626667E-1,1.116654968E1,-3.361079407E1,-1.746843719E1
9.376616667E-1,1.305908203E1,-3.396319580E1,-1.598394394E1
9.476596667E-1,1.458074951E1,-3.414073563E1,-1.466702652E1
9.576576667E-1,1.543487549E1,-3.447306442E1,-1.375689316E1
9.676566667E-1,1.553652954E1,-3.487566757E1,-1.268453217E1
9.776546667E-1,1.482519531E1,-3.572452545E1,-1.156209946E1
9.876536667E-1,1.314300537E1,-3.670288849E1,-1.067029953E1
9.976516667E-1,1.104023743E1,-3.756516647E1,-1.010808563E1
1.007649667E0,8.238220215E0,-3.843394089E1,-1.061574554E1
1.017648667E0,4.898849487E0,-3.876634216E1,-1.156893539E1
1.027646667E0,8.922424316E-1,-3.822084045E1,-1.290876007E1
1.037644667E0,-3.825927734E0,-3.721910095E1,-1.527615356E1
1.047643667E0,-9.033294678E0,-3.531116486E1,-1.746718979E1
1.057641667E0,-1.392861938E1,-3.254670715E1,-1.944038391E1
1.067640667E0,-1.856947327E1,-2.893850327E1,-2.047300720E1
1.077638667E0,-2.267802429E1,-2.511607552E1,-2.166051102E1
1.087636667E0,-2.634205627E1,-2.098190880E1,-2.164418411E1
1.097635667E0,-2.962492371E1,-1.678726959E1,-2.131293488E1
1.107633667E0,-3.226963806E1,-1.205796432E1,-2.014127350E1
1.117631667E0,-3.419030762E1,-6.934938431E0,-1.902458954E1
1.127630667E0,-3.489805603E1,-7.787227631E-1,-1.781993484E1
1.137628667E0,-3.513624573E1,5.390758514E0,-1.645251083E1
1.147626667E0,-3.409489441E1,1.073965645E1,-1.479187393E1
1.157625667E0,-3.281318665E1,1.500917530E1,-1.402202988E1
1.167623667E0,-3.161914062E1,1.790714455E1,-1.318684006E1
1.177621667E0,-3.026882935E1,2.012865067E1,-1.299818039E1
