"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.284563994E1,4.736505180E1,8.505078945E0,4.512790686E2,3.821128817E0,2.640935157E2,6.629647105E0,3.914741581E0
4.384564996E1,4.736504770E1,8.505037007E0,4.513408416E2,3.691180527E0,2.635677327E2,6.610114184E0,3.736894448E0
4.484565997E1,4.736505120E1,8.504992352E0,4.521796293E2,3.639919428E0,2.676369033E2,6.496789391E0,3.355531737E0
4.584566915E1,4.736505062E1,8.504989176E0,4.514646803E2,2.412898406E0,2.730072641E2,6.672739876E0,3.404161804E0
4.684567785E1,4.736506921E1,8.504958606E0,4.516375257E2,2.272341355E0,2.875415585E2,6.705238397E0,3.476287286E0
4.737128142E1,4.736503929E1,8.504859307E0,4.513644224E2,1.014399699E-1,1.142609237E2,1.172304459E1,6.286796477E0
4.837129060E1,4.736504294E1,8.504843927E0,4.512490134E2,1.506124245E-1,1.142609122E2,1.177270867E1,6.270170684E0
4.937129942E1,4.736503525E1,8.504796482E0,4.520624318E2,1.700380196E0,2.488649543E2,1.191492161E1,5.829169406E0
5.037130777E1,4.736503322E1,8.504728426E0,4.530256860E2,3.228614859E0,2.634856864E2,1.184537762E1,5.965356489E0
5.137131718E1,4.736504610E1,8.504688830E0,4.532473129E2,3.307001690E0,2.759086669E2,1.189705496E1,5.900676850E0
5.237132553E1,4.736502934E1,8.504657585E0,4.533447422E2,2.850005483E0,2.632793717E2,1.161899624E1,5.877643484E0
5.337133495E1,4.736506188E1,8.504575074E0,4.528021286E2,4.660618862E0,2.866151691E2,1.141588268E1,6.291843510E0
5.437134305E1,4.736507042E1,8.504572489E0,4.523040873E2,2.941804608E0,2.904870413E2,1.111174138E1,5.777051482E0
5.537135128E1,4.736506911E1,8.504536149E0,4.523426519E2,3.026097688E0,2.846104660E2,1.097561489E1,5.691426138E0
5.637136129E1,4.736506629E1,8.504528759E0,4.527108360E2,2.351239892E0,2.753860779E2,1.083536680E1,5.279305340E0
5.737136928E1,4.736506429E1,8.504538068E0,4.519932872E2,1.040838310E0,2.670324920E2,1.063415058E1,5.537086962E0
5.837137810E1,4.736506024E1,8.504481177E0,4.533536692E2,2.072219923E0,2.658745544E2,1.029825662E1,5.820190280E0
5.937138728E1,4.736505839E1,8.504434752E0,4.520746501E2,2.556480759E0,2.746723464E2,1.012429341E1,5.582105532E0
6.037139574E1,4.736507086E1,8.504415112E0,4.540001553E2,2.140962493E0,2.956081759E2,9.903267367E0,5.388185242E0
6.137140385E1,4.736507411E1,8.504381109E0,4.534091537E2,2.155984197E0,2.985700783E2,9.604747330E0,5.003238513E0
6.237141374E1,4.736511323E1,8.504337240E0,4.534991235E2,3.588415829E0,3.163715120E2,9.438689727E0,4.733403807E0
6.337142233E1,4.736512209E1,8.504328641E0,4.529339137E2,2.694831387E0,3.211110478E2,9.170409135E0,4.441660702E0
6.437143043E1,4.736513645E1,8.504310390E0,4.520645495E2,2.428054217E0,3.131826231E2,8.857790844E0,4.335562710E0
6.537143997E1,4.736512347E1,8.504289876E0,4.517153311E2,1.724316474E0,2.778859832E2,8.618774429E0,4.125601029E0
6.637144808E1,4.736508637E1,8.504275617E0,4.523499625E2,2.187654417E0,2.330114685E2,8.497446996E0,4.044265692E0
6.737145725E1,4.736503209E1,8.504269979E0,4.521664002E2,3.178787158E0,2.075386127E2,8.400545200E0,4.145883247E0
6.837146548E1,4.736503021E1,8.504240379E0,4.527701986E2,2.387790244E0,2.245106677E2,8.295790438E0,4.149445782E0
6.937147442E1,4.736503380E1,8.504230190E0,4.540276131E2,1.441245543E0,2.352454192E2,8.183945627E0,4.527053615E0
