"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.850881250E-1,-3.756820679E0,-4.448223495E1,-1.714893341E1
7.950861250E-1,-4.725463867E0,-4.470267105E1,-1.643186569E1
8.050841250E-1,-5.555526733E0,-4.453930664E1,-1.615797806E1
8.150821250E-1,-6.820388794E0,-4.410976410E1,-1.607743835E1
8.250801250E-1,-8.384994507E0,-4.368352127E1,-1.632110214E1
8.350781250E-1,-1.043615723E1,-4.318588638E1,-1.676944733E1
8.450761250E-1,-1.259182739E1,-4.271916199E1,-1.724132156E1
8.550741250E-1,-1.523837280E1,-4.198411560E1,-1.725020981E1
8.650721250E-1,-1.807585144E1,-4.056207275E1,-1.720918274E1
8.750691250E-1,-2.121461487E1,-3.900466156E1,-1.689074326E1
8.850671250E-1,-2.466679382E1,-3.681050491E1,-1.669824219E1
8.950651250E-1,-2.826736450E1,-3.438831329E1,-1.671173477E1
9.050631250E-1,-3.165544128E1,-3.152876091E1,-1.701940918E1
9.150611250E-1,-3.450132751E1,-2.804505730E1,-1.710388565E1
9.250591250E-1,-3.670883179E1,-2.444585991E1,-1.773879623E1
9.350571250E-1,-3.865042114E1,-2.063591194E1,-1.788801193E1
9.450551250E-1,-4.007511902E1,-1.696389008E1,-1.849810410E1
9.550531250E-1,-4.163064575E1,-1.319916534E1,-1.893326569E1
9.650511250E-1,-4.253167725E1,-9.498254776E0,-1.905494690E1
9.750481250E-1,-4.317652893E1,-6.117685318E0,-1.924900818E1
9.850461250E-1,-4.318695068E1,-2.419927597E0,-1.907567978E1
9.950441250E-1,-4.306280518E1,1.307754517E0,-1.884602737E1
1.005042125E0,-4.294799805E1,5.178400040E0,-1.853284454E1
1.015040125E0,-4.293122864E1,8.869558334E0,-1.758475113E1
1.025038125E0,-4.233241272E1,1.284324169E1,-1.644870758E1
1.035036125E0,-4.159996033E1,1.632983780E1,-1.507033920E1
1.045034125E0,-4.070610046E1,1.864599419E1,-1.455425644E1
1.055032125E0,-4.019151306E1,1.986440659E1,-1.457897949E1
1.065030125E0,-3.995201111E1,2.000810623E1,-1.517049789E1
1.075027125E0,-4.001866150E1,1.991816330E1,-1.582595825E1
1.085025125E0,-3.993585205E1,1.954078102E1,-1.639432907E1
1.095023125E0,-4.002752686E1,1.884489822E1,-1.703232956E1
1.105021125E0,-4.003117371E1,1.819138336E1,-1.749225616E1
1.115019125E0,-4.014587402E1,1.724190140E1,-1.780623245E1
1.125017125E0,-4.037278748E1,1.625875854E1,-1.793658066E1
1.135015125E0,-4.112272644E1,1.508706856E1,-1.790810394E1
1.145013125E0,-4.146775818E1,1.400767422E1,-1.812677002E1
1.155011125E0,-4.187838745E1,1.283956146E1,-1.810136795E1
1.165008125E0,-4.195358276E1,1.149881554E1,-1.818502426E1
1.175006125E0,-4.211128235E1,1.040078735E1,-1.809951019E1
1.185004125E0,-4.245845032E1,9.129425049E0,-1.816340637E1
1.195002125E0,-4.275141907E1,8.040275574E0,-1.845711899E1
1.205000125E0,-4.289591980E1,6.682159424E0,-1.872769547E1
1.214998125E0,-4.285287476E1,5.232297897E0,-1.944224930E1
1.224996125E0,-4.229750061E1,3.473524094E0,-2.047417068E1
1.234994125E0,-4.201319885E1,1.290819168E0,-2.115213394E1
1.244992125E0,-4.166252136E1,-1.157632828E0,-2.200921249E1
1.254990125E0,-4.146118164E1,-3.725063324E0,-2.247438431E1
1.264987125E0,-4.085713196E1,-6.514192581E0,-2.306480026E1
1.274985125E0,-3.994633484E1,-9.196435928E0,-2.364080429E1
1.284983125E0,-3.853636169E1,-1.183768845E1,-2.424287415E1
1.294981125E0,-3.682221985E1,-1.465380859E1,-2.543827820E1
1.304979125E0,-3.481082153E1,-1.767308044E1,-2.655879593E1
1.314977125E0,-3.255183411E1,-2.061167145E1,-2.739119339E1
1.324975125E0,-3.004768372E1,-2.377714729E1,-2.784350967E1
1.334973125E0,-2.700866699E1,-2.689468956E1,-2.809580612E1
1.344971125E0,-2.336138916E1,-2.999218369E1,-2.823573303E1
1.354969125E0,-1.924655151E1,-3.281187057E1,-2.767636871E1
1.364966125E0,-1.490365601E1,-3.554405212E1,-2.673624420E1
1.374964125E0,-1.049472046E1,-3.822149277E1,-2.504120636E1
1.384962125E0,-6.291931152E0,-4.049488068E1,-2.350259018E1
1.394960125E0,-2.535949707E0,-4.220780945E1,-2.131395340E1
1.404958125E0,8.265380859E-1,-4.300625610E1,-1.913849258E1
1.414956125E0,3.725448608E0,-4.354866791E1,-1.717775726E1
1.424954125E0,5.857254028E0,-4.407728958E1,-1.513887024E1
1.434952125E0,7.421875000E0,-4.458190536E1,-1.360159683E1
1.444950500E0,7.741928101E0,-4.506068420E1,-1.234684753E1
1.454948500E0,7.263442993E0,-4.556977844E1,-1.121403122E1
1.464945500E0,6.177291870E0,-4.565966797E1,-1.067607117E1
1.474943500E0,4.633193970E0,-4.597747040E1,-9.500152588E0
1.484941500E0,2.513992310E0,-4.620037842E1,-9.219978333E0
1.494939500E0,-2.319641113E-1,-4.638018036E1,-8.962882996E0
1.504937500E0,-3.379211426E0,-4.646551132E1,-9.117237091E0
1.514935500E0,-6.808639526E0,-4.618054581E1,-9.574462891E0
1.524933500E0,-1.020867920E1,-4.507238770E1,-9.898193359E0
1.534931500E0,-1.406828308E1,-4.384462738E1,-1.073444748E1
1.544929500E0,-1.784144592E1,-4.201129913E1,-1.143657303E1
1.554927500E0,-2.178506470E1,-3.994471741E1,-1.243892670E1
1.564924500E0,-2.558447266E1,-3.730721283E1,-1.344237137E1
1.574922500E0,-2.923889160E1,-3.428016663E1,-1.477498245E1
1.584920500E0,-3.231013489E1,-3.062288475E1,-1.584163666E1
1.594918500E0,-3.500227356E1,-2.686457253E1,-1.645386124E1
1.604916500E0,-3.722154236E1,-2.294927406E1,-1.714115906E1
1.614914500E0,-3.946511841E1,-1.939827538E1,-1.739517593E1
1.624912500E0,-4.112744141E1,-1.578429413E1,-1.754787064E1
1.634910500E0,-4.281144714E1,-1.207629395E1,-1.687611008E1
1.644908500E0,-4.375827026E1,-8.191532135E0,-1.630455780E1
1.654906500E0,-4.462757874E1,-4.369163513E0,-1.508829880E1
1.664903500E0,-4.488212585E1,-4.700469971E-2,-1.403775787E1
1.674901500E0,-4.498564148E1,4.686084747E0,-1.335104752E1
1.684899500E0,-4.441181946E1,9.311386108E0,-1.312263107E1
1.694897500E0,-4.395799255E1,1.247950172E1,-1.309816360E1
1.704895500E0,-4.330212402E1,1.396279526E1,-1.307402802E1
1.714893500E0,-4.306069946E1,1.411247635E1,-1.295513535E1
1.724891500E0,-4.333615112E1,1.327801037E1,-1.312947845E1
1.734889500E0,-4.356130981E1,1.235950851E1,-1.311580658E1
1.744887500E0,-4.412931824E1,1.151166153E1,-1.323707199E1
1.754885500E0,-4.438883972E1,1.072308922E1,-1.320743561E1
1.764882500E0,-4.458232117E1,9.676120758E0,-1.328540421E1
1.774880500E0,-4.466967773E1,8.359741211E0,-1.354793549E1
1.784878500E0,-4.486529541E1,6.763582230E0,-1.389426422E1
1.794876500E0,-4.518452454E1,5.173982620E0,-1.412003326E1
1.804874500E0,-4.507165527E1,3.856508255E0,-1.433742905E1
1.814872500E0,-4.514228821E1,2.279884338E0,-1.478548431E1
1.824870500E0,-4.491351318E1,8.611049652E-1,-1.545951080E1
1.834868500E0,-4.465051270E1,-3.468265533E-1,-1.593289566E1
1.844866500E0,-4.448260498E1,-1.655691147E0,-1.611276627E1
1.854864500E0,-4.452952576E1,-2.805233002E0,-1.649029160E1
1.864861500E0,-4.444049072E1,-3.954040527E0,-1.653778076E1
1.874859500E0,-4.406103516E1,-5.386419296E0,-1.692636108E1
1.884857500E0,-4.351974487E1,-7.075174332E0,-1.724998093E1
1.894855500E0,-4.280625916E1,-9.146451950E0,-1.785527420E1
1.904853500E0,-4.195634460E1,-1.118407822E1,-1.865796661E1
1.914851500E0,-4.130723572E1,-1.311941147E1,-1.949834442E1
1.924849500E0,-4.023477173E1,-1.512120819E1,-2.027491379E1
1.934847500E0,-3.883055115E1,-1.739476013E1,-2.124280167E1
1.944845500E0,-3.677764893E1,-1.955715370E1,-2.233911133E1
1.954842500E0,-3.461955261E1,-2.208843422E1,-2.308106232E1
1.964840500E0,-3.212219238E1,-2.490979385E1,-2.403795242E1
1.974838500E0,-2.927792358E1,-2.790193176E1,-2.476948166E1
1.984836500E0,-2.588973999E1,-3.112144279E1,-2.462782669E1
1.994834500E0,-2.197465515E1,-3.422335815E1,-2.457314682E1
2.004832500E0,-1.732867432E1,-3.716900253E1,-2.347348785E1
2.014830500E0,-1.259092712E1,-3.984524918E1,-2.180142593E1
2.024828500E0,-7.911743164E0,-4.203724289E1,-1.955311203E1
2.034826500E0,-3.676330566E0,-4.378784180E1,-1.771663284E1
2.044824500E0,1.418151855E-1,-4.487640381E1,-1.561907196E1
2.054822500E0,3.877929688E0,-4.509717560E1,-1.419501877E1
2.064819500E0,6.968917847E0,-4.497822571E1,-1.313542938E1
2.074817500E0,9.443756104E0,-4.473075104E1,-1.182552338E1
2.084815500E0,1.069253540E1,-4.476641083E1,-1.035055923E1
