"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.950861250E-1,-7.709532788E0,-2.509893228E1,-6.955862943E0
8.050841250E-1,-9.365471862E0,-2.694671324E1,-7.744217302E0
8.150821250E-1,-1.067641235E1,-2.923051873E1,-8.618354992E0
8.250801250E-1,-1.119256479E1,-3.155802163E1,-7.926795441E0
8.350781250E-1,-1.158523338E1,-3.359207617E1,-5.986029721E0
8.450761250E-1,-1.230353576E1,-3.487874662E1,-3.925226512E0
8.550741250E-1,-1.337293771E1,-3.576959097E1,-3.637861590E0
8.650721250E-1,-1.364223473E1,-3.688239329E1,-4.986361667E0
8.750691250E-1,-1.272319510E1,-3.748088856E1,-6.604196191E0
8.850671250E-1,-9.709739547E0,-3.704288767E1,-7.023984175E0
8.950651250E-1,-5.139894347E0,-3.570591947E1,-6.319318675E0
9.050631250E-1,-9.154950464E-1,-3.358194177E1,-5.062050365E0
9.150611250E-1,1.936174486E0,-3.091339417E1,-3.469661754E0
9.250591250E-1,2.877177426E0,-2.872570521E1,-1.862657443E0
9.350571250E-1,3.137062773E0,-2.733563260E1,-1.980125228E-1
9.450551250E-1,4.262487479E0,-2.617051407E1,8.231020224E-1
9.550531250E-1,5.858446400E0,-2.486114006E1,1.744119179E0
9.650511250E-1,7.886981165E0,-2.373432547E1,2.624251435E0
9.750481250E-1,9.536066718E0,-2.381895807E1,2.170827928E0
9.850461250E-1,1.165102625E1,-2.334848408E1,1.966127433E0
9.950441250E-1,1.764411123E1,-2.176748584E1,2.729336425E0
1.005042125E0,2.816379247E1,-2.066723632E1,5.279537551E0
1.015040125E0,3.971337187E1,-1.588891040E1,1.012118882E1
1.025038125E0,5.599497660E1,-6.401571457E0,1.809896613E1
1.035036125E0,7.181393559E1,1.107571169E1,2.631803231E1
1.045034125E0,8.612309672E1,2.337643143E1,3.059140438E1
1.055032125E0,8.420895221E1,2.730273149E1,2.780117154E1
1.065030125E0,6.223522805E1,2.975870708E1,2.258843492E1
1.075027125E0,4.117856249E1,2.131838226E1,1.739694825E1
1.085025125E0,2.577081478E1,1.758856619E1,1.423112302E1
1.095023125E0,1.844809636E1,1.752472278E1,1.364034024E1
1.105021125E0,1.515583796E1,1.783759676E1,1.236656991E1
1.115019125E0,1.031379142E1,1.835689851E1,9.336128780E0
1.125017125E0,4.880161028E0,1.819705668E1,5.818609904E0
1.135015125E0,-1.140066719E-1,1.821047370E1,2.589978565E0
1.145013125E0,-5.579980356E0,1.842324453E1,3.550229808E-1
