"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.750691250E-1,-8.656032085E-1,-2.678201914E0,8.129816055E0
8.850671250E-1,-1.537301779E0,-2.563135624E0,8.788059235E0
8.950651250E-1,-2.386687517E0,-2.177016497E0,9.021003723E0
9.050631250E-1,-3.224131346E0,-1.695658922E0,8.852455139E0
9.150611250E-1,-3.883831978E0,-1.274494171E0,8.447704315E0
9.250591250E-1,-4.261112690E0,-9.992600083E-1,8.049374580E0
9.350571250E-1,-4.398525238E0,-8.285322785E-1,7.672210693E0
9.450551250E-1,-4.418377876E0,-7.047051787E-1,7.226356030E0
9.550531250E-1,-4.317584991E0,-6.242315173E-1,6.766978741E0
9.650511250E-1,-4.319786072E0,-6.188804507E-1,6.444233418E0
9.750481250E-1,-4.580489635E0,-5.971274376E-1,6.371423244E0
9.850461250E-1,-4.932487965E0,-5.056899190E-1,6.319720268E0
9.950441250E-1,-5.146966934E0,-5.762512088E-1,6.328730583E0
1.005042125E0,-5.104654789E0,-1.037266970E0,6.877964973E0
1.015040125E0,-4.538838863E0,-1.803858995E0,7.700123787E0
1.025038125E0,-3.557548285E0,-1.801705003E0,7.407084465E0
1.035036125E0,-2.329230309E0,-8.459482789E-1,5.353112221E0
1.045034125E0,-1.822862625E0,6.043061614E-1,2.330809593E0
1.055032125E0,-1.948187947E0,2.381281614E0,-4.335973263E-1
1.065030125E0,-1.935909152E0,2.995772600E0,-1.679443598E0
1.075027125E0,-1.640278697E0,2.796776533E0,-1.804734707E0
1.085025125E0,-7.834652662E-1,1.699518442E0,-1.550687194E0
1.095023125E0,2.004349083E-1,7.145159841E-1,-1.545602202E0
1.105021125E0,9.355105162E-1,2.254384607E-1,-1.832133889E0
1.115019125E0,1.140787005E0,-1.175343432E-2,-2.156575441E0
1.125017125E0,8.867443800E-1,1.311959922E-1,-2.543756723E0
1.135015125E0,2.610948086E-1,3.583811224E-1,-2.867857218E0
1.145013125E0,-3.684596717E-1,3.828960359E-1,-2.972027779E0
1.155011125E0,-9.888691306E-1,2.389135808E-1,-3.228170156E0
1.165008125E0,-1.450893044E0,9.780705720E-2,-3.419477463E0
1.175006125E0,-1.647928953E0,3.690565228E-1,-3.509240866E0
1.185004125E0,-1.658276200E0,7.428644896E-1,-3.533159733E0
1.195002125E0,-1.523833632E0,1.293169022E0,-3.725186825E0
1.205000125E0,-1.135367870E0,1.910556316E0,-4.105184078E0
1.214998125E0,-5.378190279E-1,2.222940683E0,-4.533693790E0
1.224996125E0,4.301308095E-1,2.067081213E0,-4.843827724E0
1.234994125E0,1.661073208E0,1.717272401E0,-4.900656700E0
1.244992125E0,2.640534639E0,1.557128787E0,-4.878296852E0
1.254990125E0,3.022151470E0,1.680107832E0,-5.041252136E0
1.264987125E0,2.668071747E0,2.027194738E0,-5.536486149E0
1.274985125E0,1.850313425E0,2.563925982E0,-6.154406548E0
1.284983125E0,1.178984404E0,3.070499897E0,-6.695873260E0
1.294981125E0,1.058804274E0,3.393800974E0,-7.186629772E0
1.304979125E0,1.432231903E0,3.374534130E0,-7.534421444E0
1.314977125E0,2.121271133E0,3.287801266E0,-7.961463451E0
1.324975125E0,2.821461201E0,3.210926056E0,-8.595191002E0
1.334973125E0,3.370623827E0,3.351671934E0,-9.114109039E0
1.344971125E0,3.791325331E0,3.697448492E0,-9.487192154E0
1.354969125E0,4.233416557E0,3.762314558E0,-9.842517853E0
1.364966125E0,4.895592690E0,3.243621826E0,-1.006841755E1
1.374964125E0,5.615180969E0,2.387135029E0,-9.602023125E0
1.384962125E0,5.845690250E0,1.561686039E0,-8.291532516E0
1.394960125E0,5.339670658E0,1.490079045E0,-7.072261333E0
1.404958125E0,4.501495838E0,1.840617418E0,-5.853644848E0
1.414956125E0,3.750431061E0,2.377216101E0,-4.278279781E0
1.424954125E0,3.223774672E0,2.727665424E0,-2.263686657E0
1.434952125E0,2.755660295E0,2.583158255E0,-7.057110965E-2
1.444950500E0,2.094598055E0,2.301155090E0,1.882845044E0
1.454948500E0,1.515877366E0,2.414402723E0,3.338403940E0
