"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748961044154504E9,"2025-06-03 16:30:44.155 UTC+02:00"
"PAUSE",4.711881629166601E1,1.748961091273950E9,"2025-06-03 16:31:31.274 UTC+02:00"
"START",4.711881629166601E1,1.748961121747996E9,"2025-06-03 16:32:01.748 UTC+02:00"
"PAUSE",8.713784891666728E1,1.748961161767469E9,"2025-06-03 16:32:41.767 UTC+02:00"
"START",8.713784891666728E1,1.748961209286154E9,"2025-06-03 16:33:29.286 UTC+02:00"
"PAUSE",1.297518259583303E2,1.748961251900569E9,"2025-06-03 16:34:11.901 UTC+02:00"
"START",1.297518259583303E2,1.748961268095315E9,"2025-06-03 16:34:28.095 UTC+02:00"
