"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748960653310413E9,"2025-06-03 16:24:13.310 UTC+02:00"
"PAUSE",2.138100466666947E1,1.748960674691031E9,"2025-06-03 16:24:34.691 UTC+02:00"
"START",2.138100466666947E1,1.748960701296061E9,"2025-06-03 16:25:01.296 UTC+02:00"
"PAUSE",3.015684022083369E2,1.748960981485642E9,"2025-06-03 16:29:41.486 UTC+02:00"
