"Time (s)","Distance (cm)"
4.023875001E-3,5.000000000E0
4.932913333E-1,5.000000000E0
1.640715402E2,0.000000000E0
1.692592257E2,5.000000000E0
2.083274150E2,0.000000000E0
2.090932569E2,5.000000000E0
2.435864832E2,5.000000000E0
2.461780433E2,5.000000000E0
