"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.532655000E-1,-3.276030123E-1,-9.810644388E-1,4.400922656E-1
7.632635000E-1,-8.734115213E-2,-8.003976941E-1,4.199481010E-1
7.732625000E-1,1.484527588E-1,-5.842227340E-1,3.845103383E-1
7.832605000E-1,3.597876430E-1,-3.570015728E-1,4.029178619E-1
7.932585000E-1,5.045064092E-1,-1.282818913E-1,4.699250162E-1
8.032575000E-1,5.855085850E-1,-3.496258706E-2,5.438178778E-1
8.132555000E-1,6.587764621E-1,-1.608369052E-1,6.160598397E-1
8.232545000E-1,7.988350391E-1,-3.520340025E-1,6.501525640E-1
8.332525000E-1,1.028278589E0,-4.521137774E-1,6.136314273E-1
8.432505000E-1,1.312132955E0,-4.059883654E-1,4.645388722E-1
8.532485000E-1,1.577866197E0,-5.157061815E-1,2.992817163E-1
8.632465000E-1,1.782411575E0,-6.482674479E-1,1.043809652E-1
8.732455000E-1,1.807404876E0,-9.267033339E-1,-2.178034633E-1
8.832435000E-1,1.676341653E0,-1.079472303E0,-5.827242136E-1
8.932415000E-1,1.436556578E0,-1.108979940E0,-9.718663692E-1
9.032395000E-1,1.254664540E0,-4.621859789E-1,-9.605599046E-1
9.132375000E-1,9.915084839E-1,-2.657884359E-1,-9.242940545E-1
9.232355000E-1,1.137522936E0,3.945862949E-1,-9.241814017E-1
9.332345000E-1,1.316898823E0,1.050240397E0,-1.173984528E0
9.432325000E-1,1.258927226E0,1.630028963E0,-1.341758847E0
9.532305000E-1,8.348777294E-1,1.890311480E0,-1.303172588E0
9.632285000E-1,3.088006377E-1,2.025618553E0,-1.063510180E0
9.732265000E-1,-3.040742688E-2,1.763138890E0,-6.311580539E-1
9.832255000E-1,-2.572030425E-1,1.135075688E0,-9.947203845E-2
9.932235000E-1,-4.425297379E-1,3.184267879E-1,3.069818914E-1
1.003221500E0,-4.725693762E-1,-3.118688762E-1,6.123593450E-1
1.013219500E0,-5.202820301E-1,-2.247704864E-1,9.050464630E-1
1.023217500E0,-4.290277958E-1,-2.359672189E-1,1.326726437E0
1.033216500E0,-7.394547109E-3,1.907782257E-1,1.457697511E0
1.043214500E0,4.609159231E-1,5.369593501E-1,9.058042765E-1
1.053212500E0,6.744674444E-1,4.585242867E-1,-1.761706769E-1
1.063210500E0,7.535681129E-1,1.746390462E-1,-9.964655638E-1
1.073208500E0,1.024655819E0,-2.559095919E-1,-1.115246177E0
1.083206500E0,1.305332780E0,-9.956910610E-1,-1.041938663E0
1.093205500E0,1.373015404E0,-1.952513456E0,-9.689418077E-1
1.103203500E0,1.176170826E0,-2.765489817E0,-8.495195508E-1
1.113201500E0,8.757400513E-1,-2.904218912E0,-7.345541716E-1
1.123199500E0,5.091729760E-1,-2.266497850E0,-6.846686602E-1
1.133197500E0,2.067532949E-2,-1.134680867E0,-6.346428990E-1
1.143196500E0,-5.142442584E-1,5.710322261E-1,-3.550818264E-1
1.153194500E0,-9.758106470E-1,1.889268756E0,3.591867685E-1
1.163192500E0,-7.975434065E-1,2.072102308E0,5.980800390E-1
1.173190500E0,-7.633680105E-1,2.089928389E0,5.104618669E-1
1.183188500E0,-6.798464656E-1,1.903070092E0,2.167671472E-1
1.193186500E0,-5.323839784E-1,1.558970094E0,7.045136392E-2
1.203185500E0,-2.431433797E-1,1.217454553E0,5.125077069E-2
1.213183500E0,7.076786458E-2,8.405274153E-1,1.058922522E-2
1.223181500E0,2.684085071E-1,3.580705225E-1,-2.657279000E-2
1.233179500E0,4.542324841E-1,-3.911219910E-2,3.853323683E-2
1.243177500E0,7.006238699E-1,-1.936450601E-1,1.367359757E-1
1.253176500E0,8.698149920E-1,-2.481434792E-1,1.238197684E-1
1.263174500E0,9.213296175E-1,-2.450496703E-1,3.057344630E-2
1.273172500E0,8.182764053E-1,-2.077425867E-1,-1.915442944E-2
1.283170500E0,5.959962010E-1,-1.747412235E-1,-4.662573803E-3
1.293168500E0,2.922419310E-1,-9.320800751E-2,-1.913653687E-3
1.303166500E0,-8.526197076E-2,1.219080314E-1,-4.646700621E-2
1.313165500E0,-4.890185297E-1,2.981083393E-1,-8.139103651E-2
1.323163500E0,-7.637251616E-1,3.611429632E-1,-7.350008935E-2
1.333161500E0,-9.830244780E-1,3.165571392E-1,-1.087709889E-1
1.343159500E0,-1.194500566E0,1.602268964E-1,-2.468636036E-1
1.353157500E0,-1.127844572E0,5.477634072E-2,-1.730561107E-1
1.363156500E0,-8.356965780E-1,1.135443151E-1,1.364921480E-1
1.373154500E0,-6.271086335E-1,-1.941151172E-1,4.957539141E-1
1.383152500E0,-5.445666313E-1,-4.949498177E-1,6.740664244E-1
1.393150500E0,-4.198265076E-1,-7.982472181E-1,6.008354425E-1
1.403148500E0,-2.717217505E-1,-9.144058228E-1,4.546100795E-1
1.413146500E0,-2.542312443E-1,-9.024797082E-1,2.919688523E-1
1.423145500E0,-4.043411016E-1,-9.352978468E-1,1.489157975E-1
1.433143500E0,-5.558483601E-1,-8.533399701E-1,7.330173254E-2
1.443141500E0,-6.844239235E-1,-7.531363964E-1,8.778665960E-2
1.453139500E0,-8.449660540E-1,-5.584192276E-1,1.404247135E-1
1.463137500E0,-9.918737411E-1,-3.337552249E-1,1.550270915E-1
1.473136500E0,-1.088811874E0,-1.156141907E-1,1.413162053E-1
1.483134500E0,-1.129593134E0,7.843517512E-2,1.144758090E-1
1.493132500E0,-1.114851713E0,3.418228626E-1,4.246659949E-2
1.503130500E0,-1.056162834E0,5.319480896E-1,-4.747527465E-2
1.513128500E0,-9.810225964E-1,6.622670889E-1,-1.635446250E-1
1.523126500E0,-9.035986662E-1,7.140845060E-1,-2.943718731E-1
1.533125500E0,-7.896696329E-1,7.107391357E-1,-3.971023858E-1
1.543123500E0,-6.338586807E-1,6.482736468E-1,-4.578579068E-1
1.553121500E0,-5.036871433E-1,4.762592018E-1,-4.788262844E-1
1.563119500E0,-4.191970527E-1,2.519890666E-1,-4.845914841E-1
1.573117500E0,-3.927608132E-1,5.100050010E-3,-4.905758798E-1
1.583116500E0,-3.953312933E-1,-2.037567645E-1,-4.995121062E-1
1.593114500E0,-3.856664598E-1,-3.411162794E-1,-4.805696011E-1
1.603112500E0,-3.158839345E-1,-4.258921444E-1,-4.296262562E-1
1.613110500E0,-1.396695822E-1,-5.150967240E-1,-4.032590985E-1
1.623108500E0,1.154348925E-1,-6.624603271E-1,-3.773273528E-1
1.633106500E0,4.061942995E-1,-8.226372004E-1,-3.549759984E-1
1.643105500E0,7.301236391E-1,-1.046820045E0,-3.702545166E-1
1.653103500E0,1.001717448E0,-1.278637409E0,-3.406163156E-1
1.663101500E0,1.216672540E0,-1.492946267E0,-2.663407624E-1
1.673099500E0,1.348637223E0,-1.633593917E0,-1.879501045E-1
1.683097500E0,1.406803012E0,-1.663931847E0,-1.359454840E-1
1.693095500E0,1.440340042E0,-1.590257406E0,-9.976112843E-2
1.703094500E0,1.459472179E0,-1.462393641E0,-4.205361754E-2
1.713092500E0,1.449118376E0,-1.316184640E0,3.996615484E-2
1.723090500E0,1.429000497E0,-1.159857273E0,1.299423873E-1
1.733088500E0,1.393661380E0,-1.101099014E0,4.654776454E-1
1.743086500E0,1.374015570E0,-9.157038927E-1,5.128803253E-1
1.753085500E0,1.325062156E0,-7.705566287E-1,3.422127068E-1
1.763083500E0,9.804442525E-1,-2.077167034E-1,4.252980053E-1
1.773081500E0,8.391029239E-1,2.114044279E-1,4.857453704E-1
1.783079500E0,6.907678246E-1,4.789320230E-1,3.443152606E-1
1.793077500E0,4.869508743E-1,7.199513912E-1,1.915148050E-1
1.803075250E0,3.288597763E-1,8.826297522E-1,9.333709627E-2
1.813074250E0,2.805490196E-1,8.229694366E-1,4.948602244E-2
1.823072250E0,3.018010259E-1,6.269599795E-1,4.039798677E-2
1.833070250E0,3.518609107E-1,4.129866362E-1,2.276479639E-2
1.843068250E0,3.854846656E-1,2.474394888E-1,-3.952920437E-2
1.853066250E0,3.926006556E-1,1.590332240E-1,-1.252964288E-1
1.863065250E0,3.373842537E-1,3.022471070E-1,-1.914466918E-1
1.873063250E0,2.346344143E-1,5.877006650E-1,-1.542146355E-1
1.883061250E0,1.666518897E-1,7.406915426E-1,-5.692324042E-2
1.893059250E0,2.331794351E-1,6.255989075E-1,-1.371465065E-2
1.903057250E0,2.316963226E-1,4.743465483E-1,1.537798718E-2
1.913055250E0,1.579986066E-1,3.296410143E-1,2.882881835E-2
1.923054250E0,4.550642148E-2,2.464987040E-1,5.535150692E-2
1.933052250E0,-1.092770994E-1,2.310922146E-1,1.033108979E-1
1.943050250E0,-2.890974581E-1,2.499503195E-1,1.578359306E-1
1.953048250E0,-4.573519826E-1,2.763894200E-1,1.900346279E-1
1.963046250E0,-5.720236897E-1,3.204530180E-1,1.878593564E-1
1.973044250E0,-6.307111979E-1,3.736022711E-1,1.575191468E-1
1.983043250E0,-6.407347918E-1,3.966873586E-1,1.157578602E-1
1.993041250E0,-6.006072164E-1,3.962323666E-1,5.842052773E-2
2.003039250E0,-5.190593600E-1,3.819764555E-1,-1.005744562E-4
2.013037250E0,-4.253830910E-1,3.627738655E-1,-3.291498125E-2
2.023035250E0,-3.524074256E-1,3.495009243E-1,-6.127072498E-2
2.033034250E0,-2.628318369E-1,3.240564466E-1,-9.188002348E-2
2.043032250E0,-1.626770347E-1,2.942008078E-1,-9.616877884E-2
2.053030250E0,-8.289197087E-2,2.522413135E-1,-7.704622298E-2
2.063028250E0,-2.095616236E-2,2.089503109E-1,-4.604037106E-2
2.073026250E0,1.321361633E-3,1.857777983E-1,-2.432801388E-2
2.083024250E0,-2.064918354E-2,1.887187213E-1,-6.909875199E-3
2.093023250E0,-5.381427333E-2,2.010928839E-1,-5.366678815E-4
2.103021250E0,-9.103994071E-2,2.273932099E-1,1.383028738E-2
2.113019250E0,-1.026899070E-1,2.462593317E-1,4.376595095E-2
2.123017250E0,-8.725582808E-2,2.434686124E-1,6.890965253E-2
2.133015250E0,-5.486624688E-2,2.342644036E-1,8.589422703E-2
2.143014250E0,-2.478142269E-3,2.085632980E-1,9.700679779E-2
2.153012250E0,5.732998624E-2,1.473137140E-1,1.119384766E-1
2.163010250E0,1.126166731E-1,6.558981538E-2,1.111270115E-1
2.173008250E0,1.387052983E-1,8.713241667E-3,1.142286658E-1
2.183006250E0,1.380605549E-1,9.828838520E-4,1.194892079E-1
2.193004250E0,1.204631180E-1,2.387536690E-2,1.261460483E-1
2.203003250E0,7.223833352E-2,2.647967264E-2,1.217030957E-1
2.213001250E0,2.351397090E-2,8.514536545E-3,9.950337559E-2
2.222999250E0,-2.321811579E-2,9.033853188E-3,8.908162266E-2
2.232997250E0,-3.565876186E-2,5.016811192E-4,8.059707284E-2
2.242995250E0,-7.510479540E-3,-1.225992106E-2,9.368410707E-2
2.252994250E0,3.339439631E-2,-2.400893159E-2,1.314440072E-1
2.262992250E0,8.261866122E-2,-3.142823279E-2,1.796783805E-1
2.272990250E0,1.128263175E-1,-4.255657271E-2,2.187299132E-1
2.282988250E0,1.086853743E-1,-6.057871506E-2,2.274208665E-1
2.292986250E0,5.631611869E-2,-5.082414299E-2,1.984731108E-1
2.302984250E0,-2.535877004E-2,-2.800484933E-2,1.555932909E-1
2.312983250E0,-9.779806435E-2,-7.223272696E-4,1.182183549E-1
2.322981250E0,-1.595021784E-1,2.637027577E-2,7.725255191E-2
2.332979250E0,-2.009124458E-1,4.325847328E-2,4.537757114E-2
2.342977250E0,-2.238049805E-1,4.772325978E-2,2.247651480E-2
2.352975250E0,-2.313112170E-1,5.296156183E-2,1.316756569E-2
2.362973250E0,-2.348977029E-1,7.720219344E-2,7.037768140E-3
2.372972250E0,-2.148305327E-1,9.954847395E-2,7.728188299E-3
2.382970250E0,-1.798746884E-1,1.077763140E-1,8.909299970E-3
2.392968250E0,-1.335502565E-1,8.873292804E-2,1.072411239E-2
2.402966250E0,-9.164433926E-2,6.718342751E-2,4.106689245E-3
2.412964250E0,-6.122335047E-2,3.004429303E-2,6.387028378E-3
2.422963250E0,-4.002405703E-2,-6.779325195E-4,2.331461385E-2
2.432961250E0,-2.833802439E-2,-1.048414782E-2,5.135809258E-2
2.442959250E0,-2.595209889E-2,-2.329581790E-2,7.020395249E-2
2.452957250E0,-2.405877970E-2,-4.479384050E-2,5.320539698E-2
2.462955250E0,-1.300373022E-2,-6.849437207E-2,3.445035219E-2
2.472953250E0,6.333169527E-3,-7.851911336E-2,1.151892822E-2
2.482952250E0,2.242265642E-2,-7.201460749E-2,1.267888350E-3
2.492950250E0,2.907036059E-2,-5.829700455E-2,5.335999653E-3
2.502948250E0,3.289945424E-2,-5.329053104E-2,1.030838769E-2
2.512946250E0,2.989494987E-2,-6.548959017E-2,1.517385524E-2
2.522944250E0,1.585556380E-2,-1.064862907E-1,4.505764693E-3
2.532942250E0,1.251932699E-3,-1.313707829E-1,-3.168965876E-2
2.542941250E0,-4.536980297E-3,-1.294237375E-1,-4.705796018E-2
2.552939250E0,2.425106708E-3,-1.753112972E-1,-4.656234384E-2
2.562937250E0,5.424516276E-2,-2.667447925E-1,-3.582847118E-2
2.572935250E0,1.700566113E-1,-2.738134563E-1,-3.609558567E-2
2.582933250E0,2.956531346E-1,-1.650014967E-1,-4.061150923E-2
2.592932250E0,3.500748873E-1,-6.602749228E-2,-4.587564990E-2
2.602930250E0,3.544299603E-1,-8.407893032E-2,-3.687470034E-2
2.612928250E0,3.585813046E-1,-1.312450767E-1,-9.358258545E-2
2.622926250E0,3.154234588E-1,-5.839167237E-1,1.535174847E-1
2.632924250E0,2.177121192E-1,-5.383818746E-1,3.530846536E-1
2.642922250E0,4.918142781E-2,-8.144770861E-1,4.962117076E-1
2.652921250E0,-1.508012563E-1,-6.755965352E-1,4.242837429E-1
2.662919250E0,-3.179428279E-1,-5.539819598E-1,3.216835856E-1
2.672917250E0,-5.365314484E-1,-1.011556834E-1,2.047409862E-1
2.682915250E0,-6.968433261E-1,3.513449728E-1,-2.877136692E-2
2.692913250E0,-4.608555138E-1,1.383467197E0,-7.520342469E-1
2.702912250E0,-2.311642617E-1,1.125767469E0,-9.525777102E-1
2.712910250E0,-8.073161542E-2,-9.563329816E-2,-6.743341088E-1
2.722908250E0,3.710787296E-1,-2.899836004E-1,-5.831924677E-1
2.732906250E0,1.041593075E0,-5.708011985E-1,-5.006478429E-1
2.742904250E0,1.759815931E0,-1.009802580E0,-3.099026382E-1
2.752902250E0,2.375101089E0,-1.313211799E0,-1.441203356E-1
2.762901250E0,2.810940742E0,-1.519782305E0,1.085132584E-1
2.772899250E0,3.130907297E0,-1.570321202E0,3.133967817E-1
2.782897250E0,3.226300716E0,-1.608347654E0,3.092217445E-1
2.792895250E0,2.974446297E0,-1.658582091E0,4.152902216E-2
2.802894250E0,2.612320185E0,-1.801683307E0,-1.591065973E-1
2.812893250E0,2.269415617E0,-1.928885102E0,-1.700890660E-1
2.822891250E0,1.859106183E0,-1.637352109E0,-1.549109221E-1
2.832889250E0,1.419511199E0,-1.311473846E0,-9.457487613E-2
2.842887250E0,1.047870755E0,-1.076600909E0,7.383446209E-3
2.852885250E0,8.255499601E-1,-9.349872470E-1,7.592642307E-2
2.862883250E0,7.025411725E-1,-8.166011572E-1,1.227061749E-1
2.872882250E0,5.917346478E-1,-6.279384494E-1,1.454576999E-1
2.882880250E0,4.277933836E-1,-5.581111312E-1,1.474830359E-1
2.892878250E0,2.688725479E-2,-1.113601804E0,-8.388255537E-2
2.902876250E0,-3.270929158E-1,-1.464701056E0,-1.343156397E-1
2.912874250E0,-4.867107868E-1,-1.358121037E0,1.042579338E-1
2.922873250E0,-4.688327312E-1,-1.054096699E0,4.897180200E-1
2.932871250E0,-3.644475937E-1,-1.115263700E0,8.039817810E-1
2.942869250E0,-1.742677838E-1,-1.593791127E0,9.246423841E-1
2.952867250E0,1.279456168E-1,-2.143105507E0,8.997356296E-1
2.962865250E0,4.576433599E-1,-2.735126257E0,8.428981900E-1
2.972863250E0,7.005532384E-1,-3.322536945E0,8.029323816E-1
2.982862250E0,7.679237723E-1,-3.677171946E0,7.618477941E-1
2.992860250E0,6.457933187E-1,-3.665311575E0,6.845029593E-1
3.002858250E0,3.515605927E-1,-3.293573141E0,5.252847672E-1
3.012856250E0,-4.894223809E-2,-2.737251282E0,2.631216049E-1
3.022854250E0,-4.121398628E-1,-2.103003740E0,1.823463105E-2
3.032852250E0,-6.647133827E-1,-1.499190092E0,-9.531284124E-2
3.042851250E0,-7.778822780E-1,-1.070242763E0,-8.157785237E-2
3.052849250E0,-7.377443314E-1,-8.218489885E-1,-2.368517220E-3
3.062847250E0,-5.924337506E-1,-7.126359940E-1,9.063439071E-2
3.072845250E0,-4.157850444E-1,-7.167214155E-1,1.674904227E-1
3.082843250E0,-2.584953010E-1,-7.927809954E-1,2.102168500E-1
