"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.132375000E-1,2.497158813E1,-1.495865440E1,-2.948744583E1
9.232355000E-1,2.450238037E1,-1.529366112E1,-2.993391800E1
9.332345000E-1,2.415020752E1,-1.560133553E1,-3.010343552E1
9.432325000E-1,2.449888611E1,-1.565974426E1,-3.000223160E1
9.532305000E-1,2.581996155E1,-1.531961441E1,-2.892844009E1
9.632285000E-1,2.727890015E1,-1.496041679E1,-2.792050171E1
9.732265000E-1,2.826748657E1,-1.454579735E1,-2.708654785E1
9.832255000E-1,2.821855164E1,-1.480569077E1,-2.719806671E1
9.932235000E-1,2.760859680E1,-1.505099487E1,-2.765853882E1
1.003221500E0,2.740696716E1,-1.520926285E1,-2.775595093E1
1.013219500E0,2.768116760E1,-1.494906235E1,-2.762664795E1
1.023217500E0,2.835478210E1,-1.491381454E1,-2.737991333E1
1.033216500E0,2.826283264E1,-1.510595703E1,-2.694168854E1
1.043214500E0,2.780987549E1,-1.550761604E1,-2.713524246E1
1.053212500E0,2.696447754E1,-1.614156151E1,-2.762123489E1
1.063210500E0,2.705364990E1,-1.625275993E1,-2.789069748E1
1.073208500E0,2.768402100E1,-1.596537590E1,-2.722500992E1
1.083206500E0,2.853076172E1,-1.569792747E1,-2.664694595E1
1.093205500E0,2.863922119E1,-1.555719566E1,-2.652541733E1
1.103203500E0,2.767695618E1,-1.588421631E1,-2.737025833E1
1.113201500E0,2.627943420E1,-1.626108170E1,-2.844365311E1
1.123199500E0,2.533761597E1,-1.647580147E1,-2.977428818E1
1.133197500E0,2.553073120E1,-1.610447121E1,-2.965681076E1
1.143196500E0,2.629470825E1,-1.572142601E1,-2.903114319E1
1.153194500E0,2.666903687E1,-1.543438148E1,-2.859604645E1
1.163192500E0,2.679425049E1,-1.539261818E1,-2.893909454E1
1.173190500E0,2.624459839E1,-1.560995674E1,-2.888761139E1
1.183188500E0,2.650624084E1,-1.559354782E1,-2.865741348E1
1.193186500E0,2.741331482E1,-1.535634232E1,-2.776581955E1
1.203185500E0,2.868281555E1,-1.491760445E1,-2.698448944E1
1.213183500E0,2.912800598E1,-1.474703026E1,-2.619519806E1
1.223181500E0,2.894520569E1,-1.502635765E1,-2.645795441E1
1.233179500E0,2.805366516E1,-1.547390938E1,-2.698409271E1
1.243177500E0,2.780018616E1,-1.580412865E1,-2.711880493E1
1.253176500E0,2.822142029E1,-1.579929161E1,-2.668197632E1
1.263174500E0,2.906504822E1,-1.559188652E1,-2.599279785E1
1.273172500E0,2.912641907E1,-1.555619240E1,-2.531014252E1
1.283170500E0,2.871391296E1,-1.597403526E1,-2.579819489E1
1.293168500E0,2.789707947E1,-1.653835869E1,-2.657425690E1
1.303166500E0,2.757600403E1,-1.682197380E1,-2.695189667E1
1.313165500E0,2.811866760E1,-1.645129585E1,-2.636846924E1
1.323163500E0,2.912174988E1,-1.598341560E1,-2.560363770E1
1.333161500E0,2.966819763E1,-1.547539711E1,-2.525945282E1
1.343159500E0,2.923091125E1,-1.548867989E1,-2.575991058E1
1.353157500E0,2.823924255E1,-1.564491081E1,-2.686719513E1
1.363156500E0,2.807261658E1,-1.538788795E1,-2.721194458E1
1.373154500E0,2.853034973E1,-1.510493279E1,-2.718078613E1
1.383152500E0,2.923558044E1,-1.477814865E1,-2.629847336E1
1.393150500E0,2.922480774E1,-1.460895538E1,-2.604298782E1
1.403148500E0,2.845057678E1,-1.498371887E1,-2.692087173E1
1.413146500E0,2.724574280E1,-1.539216232E1,-2.790635300E1
1.423145500E0,2.666680908E1,-1.540760231E1,-2.856062698E1
1.433143500E0,2.695901489E1,-1.518278313E1,-2.879104233E1
1.443141500E0,2.747311401E1,-1.478420067E1,-2.809196854E1
1.453139500E0,2.745001221E1,-1.468546104E1,-2.795712662E1
1.463137500E0,2.668121338E1,-1.461767769E1,-2.848122406E1
1.473136500E0,2.577056885E1,-1.447811317E1,-2.913953400E1
1.483134500E0,2.553311157E1,-1.431171227E1,-3.000959015E1
1.493132500E0,2.588232422E1,-1.393681908E1,-2.958347321E1
1.503130500E0,2.698310852E1,-1.326544189E1,-2.875871277E1
1.513128500E0,2.742756653E1,-1.283349228E1,-2.815021515E1
1.523126500E0,2.716258240E1,-1.263198090E1,-2.867134094E1
1.533125500E0,2.639219666E1,-1.255986023E1,-2.940341949E1
