"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.802162500E-1,9.382103086E-1,9.749774933E-1,3.654847145E-1
8.902131250E-1,8.861010075E-1,1.081847072E0,5.531224012E-1
9.002101250E-1,7.364308238E-1,9.989534616E-1,6.519600749E-1
9.102071250E-1,5.369592905E-1,8.616168499E-1,6.902086139E-1
9.202041250E-1,3.216107786E-1,7.461975813E-1,6.719433069E-1
9.302021250E-1,1.101538986E-1,7.359855175E-1,5.959110260E-1
9.401991250E-1,-8.338334411E-2,8.095982075E-1,4.925670326E-1
9.501961250E-1,-2.648568153E-1,9.186679721E-1,3.563558757E-1
9.601931250E-1,-4.148005247E-1,1.049489737E0,1.914761066E-1
9.701901250E-1,-5.356621742E-1,1.160820484E0,-4.563434422E-2
9.801871250E-1,-6.050649285E-1,1.179323792E0,-3.192216754E-1
9.901841250E-1,-5.923351049E-1,1.125286460E0,-5.813443661E-1
1.000182125E0,-4.953670204E-1,1.098982930E0,-7.985387444E-1
1.010179125E0,-3.389366567E-1,1.232786536E0,-1.047472000E0
1.020176125E0,-1.293213814E-1,1.543258071E0,-1.385653853E0
1.030173125E0,9.131285548E-2,1.824584484E0,-1.743537068E0
1.040170125E0,3.129842579E-1,1.898292542E0,-1.993103862E0
1.050167125E0,6.085359454E-1,1.693719149E0,-2.051143169E0
1.060164125E0,1.093735456E0,1.367398262E0,-1.976357818E0
1.070162125E0,1.753160954E0,8.730419278E-1,-1.738061666E0
1.080159125E0,2.500091314E0,1.314200014E-1,-1.167017579E0
1.090156125E0,3.107027531E0,-3.577628136E-1,-4.750548005E-1
1.100153125E0,3.341244221E0,-5.607252717E-1,-1.280409247E-1
1.110150125E0,3.246074200E0,-7.606620789E-1,-2.813862264E-1
1.120147125E0,2.959855556E0,-6.915900111E-1,-6.819576025E-1
1.130144125E0,2.528905153E0,-2.190385163E-1,-1.174857140E0
1.140142125E0,2.074952841E0,2.882425487E-1,-1.762428284E0
1.150139125E0,1.764891505E0,5.657403469E-1,-2.248049021E0
1.160136125E0,1.545469403E0,5.055744648E-1,-2.387068033E0
1.170133125E0,1.312403202E0,2.282418907E-1,-2.175741434E0
1.180130125E0,1.052476525E0,-1.643509269E-1,-1.800685883E0
1.190127125E0,7.436140776E-1,-5.067915916E-1,-1.419332147E0
1.200124125E0,2.905102372E-1,-6.097541451E-1,-1.205290437E0
1.210122125E0,-2.403608710E-1,-4.184719622E-1,-1.208987951E0
1.220119125E0,-7.100159526E-1,1.235875636E-1,-1.329379320E0
1.230116125E0,-1.009108186E0,8.137729168E-1,-1.401547909E0
1.240113125E0,-1.035790324E0,1.389517426E0,-1.422026634E0
1.250110125E0,-8.371132612E-1,1.683933735E0,-1.409244657E0
1.260107125E0,-4.460879564E-1,1.726565838E0,-1.300691843E0
1.270104125E0,1.218142658E-1,1.683558464E0,-1.110743284E0
1.280102125E0,7.197384238E-1,1.435329199E0,-8.436915874E-1
1.290099125E0,1.240546227E0,1.089135528E0,-5.167706013E-1
1.300096125E0,1.668634415E0,7.782140374E-1,-1.126819998E-1
1.310093125E0,1.878829122E0,6.024171114E-1,2.624287903E-1
1.320090125E0,1.730234861E0,5.919237137E-1,5.060635805E-1
1.330087125E0,1.254524112E0,7.077947259E-1,5.864975452E-1
1.340084125E0,6.091365218E-1,9.131920934E-1,5.415564775E-1
1.350082125E0,-6.324397027E-2,1.187258959E0,3.413225412E-1
1.360079125E0,-6.205266714E-1,1.386413574E0,7.710631937E-2
1.370076125E0,-1.033591866E0,1.297988653E0,-4.526205361E-3
1.380073125E0,-1.234726787E0,9.023420215E-1,1.240554675E-1
1.390070125E0,-1.202892780E0,3.707516193E-1,4.233263135E-1
1.400067125E0,-1.068301678E0,-1.487472057E-1,7.296132445E-1
1.410064125E0,-9.314128757E-1,-5.405249596E-1,9.068341255E-1
1.420062125E0,-7.857414484E-1,-7.452961802E-1,9.359491467E-1
1.430059125E0,-6.817314625E-1,-7.311587930E-1,8.471765518E-1
1.440056125E0,-6.999282837E-1,-5.943884254E-1,6.434828043E-1
